player_id,name,pos,team,games,ep_std,ppg_std,gap_std,gapc_std,ep_half,ppg_half,gap_half,gapc_half,ep_ppr,ppg_ppr,gap_ppr,gapc_ppr,td_luck_pg,tgt_pg,tgt_share,carry_pg
00-0034855,Baker Mayfield,QB,TB,17,16.52,15.06,-1.46,-0.17,16.52,15.06,-1.46,-0.17,16.52,15.06,-1.46,-0.17,0.039,0.0,0.0,3.24
00-0034857,Josh Allen,QB,BUF,16,19.85,21.81,1.96,3.25,19.85,21.81,1.96,3.25,19.85,21.81,1.96,3.25,0.409,0.0,0.0,7.0
00-0034860,Dante Pettis,WR,NO,4,2.28,2.5,0.22,0.76,3.19,3.62,0.43,0.89,4.11,4.75,0.64,1.09,-0.048,1.38,0.04,0.0
00-0034869,Sam Darnold,QB,SEA,17,14.42,12.94,-1.48,-0.19,14.42,12.94,-1.48,-0.19,14.42,12.94,-1.48,-0.19,-0.112,0.0,0.0,2.06
00-0034960,Jakobi Meyers,WR,JAX,16,7.92,5.81,-2.11,-1.57,10.17,8.16,-2.01,-1.55,12.42,10.5,-1.92,-1.47,-0.178,6.88,0.23,0.31
00-0034975,Justice Hill,RB,BAL,9,3.52,4.11,0.59,1.34,4.74,5.28,0.54,1.18,5.96,6.44,0.48,1.1,0.22,2.7,0.1,1.8
00-0034981,Foster Moreau,TE,NO,7,0.86,0.43,-0.43,-0.23,1.4,0.93,-0.47,-0.32,1.93,1.43,-0.5,-0.37,-0.02,1.43,0.05,0.0
00-0034983,Hunter Renfrow,WR,CAR,6,4.42,3.0,-1.42,-0.88,5.8,4.25,-1.55,-1.09,7.18,5.5,-1.68,-1.23,0.075,4.33,0.13,0.0
00-0035021,Ashton Dulin,WR,IND,7,2.5,1.71,-0.79,-0.25,2.95,2.07,-0.88,-0.42,3.41,2.43,-0.98,-0.53,-0.11,0.83,0.03,0.25
00-0035100,Jake Browning,QB,CIN,5,11.05,9.2,-1.85,-0.56,11.05,9.2,-1.85,-0.56,11.05,9.2,-1.85,-0.56,0.382,0.0,0.0,1.8
00-0035208,Olamide Zaccheaus,WR,CHI,14,4.59,2.71,-1.88,-1.34,6.18,4.11,-2.07,-1.61,7.78,5.5,-2.28,-1.83,-0.047,4.64,0.15,0.29
00-0035228,Kyler Murray,QB,ARI,5,19.27,14.6,-4.67,-3.38,19.27,14.6,-4.67,-3.38,19.27,14.6,-4.67,-3.38,-0.388,0.0,0.0,5.8
00-0035229,T.J. Hockenson,TE,MIN,15,4.11,3.53,-0.58,-0.38,5.68,5.23,-0.45,-0.3,7.25,6.93,-0.32,-0.19,-0.018,4.4,0.16,0.07
00-0035243,Miles Sanders,RB,DAL,4,4.43,3.75,-0.68,0.07,5.24,4.75,-0.49,0.16,6.06,5.75,-0.31,0.3,0.078,2.0,0.05,5.0
00-0035249,Josh Oliver,TE,MIN,12,1.59,2.75,1.16,1.36,2.16,3.38,1.22,1.37,2.72,4.0,1.28,1.41,0.223,1.58,0.07,0.0
00-0035250,Devin Singletary,RB,NYG,17,5.67,4.65,-1.02,-0.27,6.11,5.18,-0.93,-0.29,6.54,5.71,-0.83,-0.21,-0.065,1.12,0.04,7.0
00-0035261,Tony Pollard,RB,TEN,17,9.01,8.29,-0.72,0.03,9.91,9.26,-0.65,-0.01,10.82,10.24,-0.58,0.04,0.031,2.41,0.08,14.24
00-0035289,Gardner Minshew,QB,KC,4,0.79,-1.0,-1.79,-0.5,0.79,-1.0,-1.79,-0.5,0.79,-1.0,-1.79,-0.5,-0.012,0.0,0.0,1.5
00-0035291,Trayveon Williams,RB,CLE,5,2.01,1.0,-1.01,-0.26,2.65,1.8,-0.85,-0.2,3.29,2.6,-0.69,-0.07,-0.048,1.5,0.06,1.67
00-0035298,Scott Miller,WR,PIT,5,2.44,0.6,-1.84,-1.3,3.42,1.5,-1.92,-1.46,4.4,2.4,-2.0,-1.55,-0.114,2.8,0.08,0.0
00-0035359,David Sills,WR,ATL,12,3.28,2.25,-1.03,-0.49,4.21,3.0,-1.21,-0.75,5.13,3.75,-1.38,-0.93,0.027,3.0,0.1,0.0
