year,pid,name,pos,pred
2023,00-0030279,Keenan Allen,WR,7.37
2023,00-0030431,Robert Woods,WR,4.0
2023,00-0030564,DeAndre Hopkins,WR,7.34
2023,00-0031236,Brandin Cooks,WR,6.05
2023,00-0031381,Davante Adams,WR,10.33
2023,00-0031408,Mike Evans,WR,8.83
2023,00-0031428,Allen Robinson,WR,4.06
2023,00-0031544,Amari Cooper,WR,8.66
2023,00-0031547,DeVante Parker,WR,4.85
2023,00-0031549,Nelson Agholor,WR,1.59
2023,00-0031588,Stefon Diggs,WR,10.41
2023,00-0031763,DeAndre Carter,WR,1.79
2023,00-0031868,Damiere Byrd,WR,-0.06
2023,00-0032211,Tyler Lockett,WR,6.84
2023,00-0032398,Chris Moore,WR,2.75
2023,00-0032464,Kalif Raymond,WR,3.92
2023,00-0032688,Robbie Chosen,WR,1.09
2023,00-0032775,Demarcus Robinson,WR,2.15
2023,00-0033009,Tyler Boyd,WR,6.21
2023,00-0033040,Tyreek Hill,WR,10.11
2023,00-0033282,Curtis Samuel,WR,4.96
2023,00-0033307,Kendrick Bourne,WR,4.34
2023,00-0033466,Isaiah McKenzie,WR,1.52
2023,00-0033536,Mike Williams,WR,7.62
2023,00-0033555,Mack Hollins,WR,3.95
2023,00-0033572,Jamal Agnew,WR,3.18
2023,00-0033591,Noah Brown,WR,2.82
2023,00-0033857,JuJu Smith-Schuster,WR,5.53
2023,00-0033871,Corey Davis,WR,4.05
2023,00-0033891,Zay Jones,WR,6.61
2023,00-0033908,Cooper Kupp,WR,10.89
2023,00-0033921,Chris Godwin Jr.,WR,8.11
2023,00-0033943,Josh Reynolds,WR,5.12
2023,00-0034054,River Cracraft,WR,0.69
2023,00-0034272,Marquez Valdes-Scantling,WR,5.5
2023,00-0034279,Equanimeous St. Brown,WR,1.9
2023,00-0034286,Richie James,WR,3.0
2023,00-0034297,Byron Pringle,WR,1.12
2023,00-0034348,Courtland Sutton,WR,6.9
2023,00-0034386,Justin Watson,WR,2.77
2023,00-0034407,Ray-Ray McCloud,WR,2.62
2023,00-0034411,Russell Gage,WR,5.51
2023,00-0034487,Trent Sherfield,WR,2.33
2023,00-0034521,Allen Lazard,WR,6.03
2023,00-0034764,Michael Gallup,WR,5.87
2023,00-0034765,Tre'Quan Smith,WR,1.29
2023,00-0034775,Christian Kirk,WR,8.46
2023,00-0034777,DJ Chark,WR,4.12
2023,00-0034827,DJ Moore,WR,7.23
2023,00-0034860,Dante Pettis,WR,1.78
2023,00-0034960,Jakobi Meyers,WR,5.69
2023,00-0034983,Hunter Renfrow,WR,5.09
2023,00-0035021,Ashton Dulin,WR,2.3
2023,00-0035140,Mecole Hardman,WR,4.76
2023,00-0035208,Olamide Zaccheaus,WR,3.27
2023,00-0035216,Diontae Johnson,WR,8.75
2023,00-0035341,Trenton Irwin,WR,2.28
2023,00-0035500,Greg Dortch,WR,2.33
2023,00-0035535,Darius Slayton,WR,5.48
2023,00-0035544,Tom Kennedy,WR,1.84
2023,00-0035639,Parris Campbell,WR,4.47
2023,00-0035640,DK Metcalf,WR,8.53
2023,00-0035659,Terry McLaurin,WR,8.17
2023,00-0035662,Marquise Brown,WR,7.93
2023,00-0035676,A.J. Brown,WR,10.54
2023,00-0035719,Deebo Samuel Sr.,WR,8.59
2023,00-0035864,Kendall Hinton,WR,1.64
2023,00-0036165,Isaiah Hodgins,WR,4.75
2023,00-0036182,Nick Westbrook-Ikhine,WR,3.45
2023,00-0036196,Gabe Davis,WR,7.2
2023,00-0036233,Donovan Peoples-Jones,WR,5.57
2023,00-0036252,Michael Pittman,WR,7.65
2023,00-0036259,Jauan Jennings,WR,3.64
2023,00-0036261,Brandon Aiyuk,WR,7.78
2023,00-0036268,Laviska Shenault Jr.,WR,2.81
2023,00-0036271,Quez Watkins,WR,3.98
2023,00-0036309,Darnell Mooney,WR,5.97
2023,00-0036322,Justin Jefferson,WR,11.61
2023,00-0036326,Chase Claypool,WR,4.23
2023,00-0036331,Devin Duvernay,WR,4.27
2023,00-0036345,K.J. Osborn,WR,4.8
2023,00-0036358,CeeDee Lamb,WR,9.94
2023,00-0036407,Jerry Jeudy,WR,7.34
2023,00-0036410,Tee Higgins,WR,9.05
2023,00-0036412,KJ Hamler,WR,1.78
2023,00-0036415,Van Jefferson,WR,3.74
2023,00-0036550,Rashod Bateman,WR,5.14
2023,00-0036554,Nico Collins,WR,4.8
2023,00-0036572,Shi Smith,WR,1.46
2023,00-0036613,Jaylen Waddle,WR,9.09
2023,00-0036626,Dyami Brown,WR,2.57
2023,00-0036849,Tutu Atwell,WR,3.22
2023,00-0036862,Ben Skowronek,WR,2.8
2023,00-0036900,Ja'Marr Chase,WR,11.92
2023,00-0036912,DeVonta Smith,WR,9.39
2023,00-0036913,Kadarius Toney,WR,3.65
2023,00-0036936,Rondale Moore,WR,5.31
2023,00-0036955,Terrace Marshall Jr.,WR,4.07
2023,00-0036963,Amon-Ra St. Brown,WR,8.12
2023,00-0036980,Elijah Moore,WR,3.85
2023,00-0036988,Josh Palmer,WR,4.99
2023,00-0037098,Samori Toure,WR,2.37
2023,00-0037238,Drake London,WR,8.55
2023,00-0037239,Chris Olave,WR,8.63
2023,00-0037240,Jameson Williams,WR,3.95
2023,00-0037247,George Pickens,WR,6.59
2023,00-0037261,Khalil Shakir,WR,3.24
2023,00-0037291,Jalen Nailor,WR,1.99
2023,00-0037545,Rashid Shaheed,WR,4.19
2023,00-0037664,Alec Pierce,WR,4.97
2023,00-0037740,Garrett Wilson,WR,8.88
2023,00-0037741,Jahan Dotson,WR,6.87
2023,00-0037742,Treylon Burks,WR,6.13
2023,00-0037745,Velus Jones Jr.,WR,1.81
2023,00-0037816,Romeo Doubs,WR,4.44
2023,00-0038104,Tyquan Thornton,WR,4.52
2023,00-0038117,Wan'Dale Robinson,WR,4.87
2023,00-0038124,Christian Watson,WR,6.23
2023,00-0024243,Marcedes Lewis,TE,0.15
2023,00-0030061,Zach Ertz,TE,4.04
2023,00-0030506,Travis Kelce,TE,9.47
2023,00-0031260,Logan Thomas,TE,3.16
2023,00-0031585,MyCole Pruitt,TE,1.63
2023,00-0031610,Darren Waller,TE,5.46
2023,00-0031690,Eric Tomlinson,TE,0.13
2023,00-0032134,C.J. Uzomah,TE,1.88
2023,00-0032392,Austin Hooper,TE,2.72
2023,00-0033090,Hunter Henry,TE,4.07
2023,00-0033110,Tyler Higbee,TE,4.9
2023,00-0033217,Mo Alie-Cox,TE,1.73
2023,00-0033288,George Kittle,TE,6.23
2023,00-0033357,Taysom Hill,TE,6.84
2023,00-0033757,Robert Tonyan,TE,2.89
2023,00-0033881,Evan Engram,TE,5.18
2023,00-0033885,David Njoku,TE,5.16
2023,00-0033895,Gerald Everett,TE,4.97
2023,00-0034073,Ross Dwelley,TE,0.84
2023,00-0034159,Will Dissly,TE,2.65
2023,00-0034270,Tyler Conklin,TE,3.77
2023,00-0034351,Dallas Goedert,TE,6.69
2023,00-0034364,Jordan Akins,TE,3.51
2023,00-0034383,Dalton Schultz,TE,5.45
2023,00-0034753,Mark Andrews,TE,7.66
2023,00-0034829,Mike Gesicki,TE,3.69
2023,00-0034830,Hayden Hurst,TE,4.12
2023,00-0034970,Irv Smith,TE,3.4
2023,00-0034981,Foster Moreau,TE,3.37
2023,00-0035229,T.J. Hockenson,TE,6.89
2023,00-0035329,Donald Parham,TE,2.2
2023,00-0035624,N'Keal Harry,TE,0.68
2023,00-0035644,Noah Fant,TE,4.59
2023,00-0035689,Dawson Knox,TE,4.71
2023,00-0036040,Juwan Johnson,TE,4.01
2023,00-0036145,Lawrence Cager,TE,1.95
2023,00-0036244,Colby Parkinson,TE,2.53
2023,00-0036290,Cole Kmet,TE,4.54
2023,00-0036423,Albert Okwuegbunam,TE,2.02
2023,00-0036534,Shane Zylstra,TE,0.67
2023,00-0036637,Noah Gray,TE,2.72
2023,00-0036754,Brock Wright,TE,1.88
2023,00-0036894,Pat Freiermuth,TE,5.53
2023,00-0036970,Kyle Pitts,TE,5.25
2023,00-0037252,Greg Dulcich,TE,4.13
2023,00-0037277,Teagan Quitoriano,TE,2.36
2023,00-0037569,Peyton Hendershot,TE,1.7
2023,00-0037744,Trey McBride,TE,2.94
2023,00-0037755,Jelani Woods,TE,3.12
2023,00-0037809,Chig Okonkwo,TE,3.97
2023,00-0037838,Isaiah Likely,TE,3.94
2023,00-0038041,Jake Ferguson,TE,2.22
2023,00-0038115,Daniel Bellinger,TE,3.38
2023,00-0038129,Cade Otton,TE,3.93
2024,00-0026158,Joe Flacco,QB,8.97
2024,00-0026498,Matthew Stafford,QB,15.6
2024,00-0028118,Tyrod Taylor,QB,6.26
2024,00-0029263,Russell Wilson,QB,10.58
2024,00-0029604,Kirk Cousins,QB,12.59
2024,00-0030565,Geno Smith,QB,15.24
2024,00-0031280,Derek Carr,QB,14.53
2024,00-0031345,Jimmy Garoppolo,QB,4.8
2024,00-0031800,Taylor Heinicke,QB,6.57
2024,00-0032156,Trevor Siemian,QB,3.36
2024,00-0033077,Dak Prescott,QB,16.78
2024,00-0033106,Jared Goff,QB,16.59
2024,00-0033275,PJ Walker,QB,3.06
2024,00-0033319,Nick Mullens,QB,8.28
2024,00-0033537,Deshaun Watson,QB,14.2
2024,00-0033869,Mitchell Trubisky,QB,5.07
2024,00-0033873,Patrick Mahomes,QB,18.56
2024,00-0033936,C.J. Beathard,QB,5.13
2024,00-0033949,Joshua Dobbs,QB,9.84
2024,00-0034771,Mason Rudolph,QB,9.19
2024,00-0034796,Lamar Jackson,QB,18.76
2024,00-0034855,Baker Mayfield,QB,15.78
2024,00-0034857,Josh Allen,QB,19.5
2024,00-0035100,Jake Browning,QB,9.58
2024,00-0035228,Kyler Murray,QB,17.34
2024,00-0035282,Easton Stick,QB,9.88
2024,00-0035289,Gardner Minshew,QB,11.4
