player,team,pos,espn,sleeper_std,sleeper_half,sleeper_ppr,ffc_std,ffc_half,ffc_ppr
Jake Ferguson,DAL,TE,102,105,107,95,151.8,139.8,131.7
Patrick Mahomes,KC,QB,98,112,109,103,105.6,102.6,102.3
Michael Pittman,PIT,WR,80,119,103,98,90.7,81.0,74.9
Mark Andrews,BAL,TE,113,104,116,121,118.8,124.1,127.7
Brock Purdy,SF,QB,96,118,118,116,89.3,89.4,87.3
Woody Marks,HOU,RB,146,115,131,142,135.6,141.5,139.6
Tyler Allgeier,ARI,RB,165,96,126,133,151.9,154.6,155.7
Quentin Johnston,LAC,WR,132,122,104,110,78.1,87.7,97.4
Brian Robinson,ATL,RB,171,87,152,139,169.2,163.5,158.7
Rachaad White,WAS,RB,126,138,117,122,129.3,118.4,115.0
Matthew Stafford,LAR,QB,70,130,105,94,71.4,75.5,76.5
Juwan Johnson,NO,TE,163,113,161,163,158.0,161.9,148.2
Bo Nix,DEN,QB,76,134,115,114,117.2,113.6,111.6
Dallas Goedert,PHI,TE,88,101,122,117,96.4,99.3,105.8
Zach Charbonnet,SEA,RB,152,111,129,135,129.7,132.4,133.4
Tyrone Tracy,NYG,RB,,121,128,144,165.8,166.2,158.9
Jayden Reed,GB,WR,116,131,101,108,88.1,87.7,93.7
Hunter Henry,NE,TE,140,98,138,127,151.4,163.4,154.7
Romeo Doubs,NE,WR,148,128,125,123,100.5,107.0,113.0
Oronde Gadsden,LAC,TE,,90,137,120,,,
Jared Goff,DET,QB,133,147,130,124,101.6,100.7,100.2
Jonathon Brooks,CAR,RB,103,160,88,102,89.5,89.9,93.3
Xavier Worthy,KC,WR,115,135,123,128,90.3,99.4,105.4
Alvin Kamara,NO,RB,161,132,140,143,152.1,157.3,151.1
Josh Downs,IND,WR,131,123,108,104,99.5,92.5,88.6
Tyjae Spears,TEN,RB,156,136,150,146,156.5,142.8,130.6
Brenton Strange,JAC,TE,183,114,141,137,163.7,175.7,162.7
Jonah Coleman,DEN,RB,205,129,132,149,156.6,167.5,149.3
Stefon Diggs,,WR,114,127,113,106,97.8,95.7,91.7
Khalil Shakir,BUF,WR,118,133,135,131,113.1,109.4,103.0
Jordan Love,GB,QB,158,141,149,136,152.6,152.8,145.6
Kenyon Sadiq,NYJ,TE,147,120,153,138,,174.1,157.3
KC Concepcion,CLE,WR,139,144,111,115,113.8,117.5,121.1
Baker Mayfield,TB,QB,143,159,139,130,134.9,134.8,129.8
Jayden Higgins,HOU,WR,282,140,175,170,,,
Dalton Schultz,HOU,TE,189,106,185,167,,179.1,161.2
Jalen Coker,CAR,WR,160,146,133,132,115.0,117.6,121.8
Chig Okonkwo,WAS,TE,243,150,170,161,,,160.9
Tyler Shough,NO,QB,151,165,167,162,143.3,139.7,135.1
T.J. Hockenson,MIN,TE,130,142,159,145,,173.3,163.2
Chris Rodriguez,JAC,RB,172,158,124,129,146.9,157.6,157.6
Malik Willis,MIA,QB,179,155,169,169,160.8,164.6,162.1
Dylan Sampson,CLE,RB,,143,168,164,,174.2,159.9
David Njoku,LAC,TE,216,145,197,179,,,154.0
Jauan Jennings,MIN,WR,,137,176,171,138.6,140.9,146.4
Isiah Pacheco,DET,RB,164,168,151,160,155.3,154.4,151.9
James Conner,ARI,RB,,99,192,219,,,171.7
