name,pos,team,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Aaron Rodgers,QB,PIT,4,Drew Allar,,,,76,Drew Allar
Joe Flacco,QB,CIN,2,Joe Burrow,,,,,
Josh Johnson,QB,CIN,3,Joe Flacco,,,,,
Matthew Stafford,QB,LA,1,,,Ty Simpson,159,13,Ty Simpson
Andy Dalton,QB,PHI,2,Jalen Hurts,,,,178,Cole Payton
Tyrod Taylor,QB,GB,2,Jordan Love,,,,,
Case Keenum,QB,CHI,2,Caleb Williams,,,,,
Kirk Cousins,QB,LV,4,Aidan O'Connell,,,,1,Fernando Mendoza
Kyle Juszczyk,RB,SF,2,Christian McCaffrey,,,,90,Kaelon Black
Adam Thielen,WR,MIN,14,Terrill Davis,,,,,
Travis Kelce,TE,KC,1,,,,,,
Geno Smith,QB,NYJ,4,Cade Klubnik,,,,110,Cade Klubnik
Odell Beckham Jr.,WR,NYG,4,Malachi Fields,,,,74,Malachi Fields
Teddy Bridgewater,QB,DET,2,Jared Goff,,,,,
Davante Adams,WR,LA,2,Puka Nacua,37,,,197,CJ Daniels
Mike Evans,WR,SF,1,,,Ricky Pearsall,50,33,De'Zhaun Stribling
Chris Manhertz,TE,NYG,3,Theo Johnson,,,,,
Jameis Winston,QB,NYG,2,Jaxson Dart,,,,,
Michael Burton,RB,CLE,3,Dylan Sampson,,,,,
Ameer Abdullah,RB,JAX,3,Chris Rodriguez Jr.,,,,,
Trevor Siemian,QB,ATL,3,Tua Tagovailoa,,,,,
Phillip Dorsett,WR,LV,4,Jack Bech,,,,195,Malik Benson
Marcus Mariota,QB,WAS,2,Jayden Daniels,,,,223,Athan Kaliakmanis
Austin Hooper,TE,ATL,2,Kyle Pitts,,,,,
Brandon Allen,QB,NYG,3,Jameis Winston,,,,,
Kalif Raymond,WR,CHI,3,Luther Burden III,,,,89,Zavion Thomas
Derrick Henry,RB,BAL,1,,,,,174,Adam Randall
Demarcus Robinson,WR,SF,5,Christian Kirk,,,,33,De'Zhaun Stribling
C.J. Ham,RB,MIN,4,Demond Claiborne,,,,198,Demond Claiborne
Carson Wentz,QB,MIN,3,J.J. McCarthy,,,,,
Laquon Treadwell,WR,IND,3,Josh Downs,,,,254,Deion Burks
Dak Prescott,QB,DAL,1,,,,,,
Hunter Henry,TE,NE,1,,,,,95,Eli Raridon
Jared Goff,QB,DET,1,,,,,,
Tyler Higbee,TE,LA,4,Max Klare,,,,61,Max Klare
Jacoby Brissett,QB,ARI,1,,,,,65,Carson Beck
Mo Alie-Cox,TE,IND,2,Tyler Warren,,,,,
Johnny Mundt,TE,PHI,3,Eli Stowers,,,,54,Eli Stowers
Christian McCaffrey,RB,SF,1,,,,,90,Kaelon Black
George Kittle,TE,SF,1,,,Jake Tonges,1,,
Aaron Jones,RB,MIN,1,,,Jordan Mason,29,198,Demond Claiborne
Kendrick Bourne,WR,ARI,3,Michael Wilson,,,,143,Reggie Virgil
Nick Mullens,QB,JAX,2,Trevor Lawrence,,,,,
Tim Patrick,WR,NYJ,4,Adonai Mitchell,,,,30,Omar Cooper Jr.
Patrick Ricard,RB,NYG,3,Tyrone Tracy Jr.,,,,,
Anthony Firkser,TE,WAS,2,Chig Okonkwo,,,,,
Samaje Perine,RB,CIN,7,Jamal Haynes,,,,,
Deshaun Watson,QB,CLE,4,Taylen Green,,,,182,Taylen Green
James Conner,RB,ARI,2,Jeremiyah Love,127,Tyler Allgeier,6,3,Jeremiyah Love
Mack Hollins,WR,NE,5,Kyle Williams,,,,,
Eric Saubert,TE,SEA,2,AJ Barner,,,,,
David Moore,WR,CAR,4,Chris Brazzell,,,,83,Chris Brazzell II
Robert Tonyan,TE,PIT,1,,,,,169,Riley Nowakowski
JuJu Smith-Schuster,WR,NYG,5,Odell Beckham Jr.,,,,74,Malachi Fields
Mitchell Trubisky,QB,TEN,2,Cam Ward,,,,,
Patrick Mahomes,QB,KC,1,,,,,249,Garrett Nussmeier
Evan Engram,TE,DEN,7,Adam Trautman,,,,152,Justin Joly
David Njoku,TE,LAC,2,Oronde Gadsden II,76,,,,
Alvin Kamara,RB,NO,2,Travis Etienne,104,Kendre Miller,63,,
Cooper Kupp,WR,SEA,3,Rashid Shaheed,48,Tory Horton,66,199,Emmanuel Henderson Jr.
Chris Godwin Jr.,WR,TB,2,Emeka Egbuka,55,Jalen McMillan,52,84,Ted Hurst
Jeremy McNichols,RB,WAS,4,Kaytron Allen,,,,187,Kaytron Allen
Tyler Conklin,TE,DET,2,Sam LaPorta,,,,,
Marquez Valdes-Scantling,WR,DAL,4,Ryan Flournoy,,,,218,Anthony Smith
Courtland Sutton,WR,DEN,2,Jaylen Waddle,8,Troy Franklin,143,,
Dallas Goedert,TE,PHI,1,,,Eli Stowers,85,54,Eli Stowers
Ian Thomas,TE,LV,2,Brock Bowers,,,,,
Dalton Schultz,TE,HOU,1,,,,,59,Marlin Klein
Justin Watson,WR,HOU,5,Jaylin Noel,,,,204,Lewis Bond
Cedrick Wilson Jr.,WR,DET,4,Isaac TeSlaa,,,,168,Kendrick Law
Braxton Berrios,WR,NYG,6,JuJu Smith-Schuster,,,,74,Malachi Fields
Trent Sherfield,WR,BUF,4,Keon Coleman,,,,125,Skyler Bell
Kyle Allen,QB,BUF,2,Josh Allen,,,,,
Tanner Hudson,TE,CIN,1,,,,,221,Jack Endries
Mark Andrews,TE,BAL,1,,,,,133,Matthew Hibner
Mason Rudolph,QB,PIT,1,,,,,76,Drew Allar
Christian Kirk,WR,SF,4,De'Zhaun Stribling,68,,,33,De'Zhaun Stribling
Lamar Jackson,QB,BAL,1,,,,,,
Durham Smythe,TE,BAL,2,Mark Andrews,,,,133,Matthew Hibner
DJ Moore,WR,BUF,1,,,Khalil Shakir,52,125,Skyler Bell
Mike Gesicki,TE,CIN,7,Josh Kattus,,,,221,Jack Endries
Calvin Ridley,WR,TEN,3,Wan'Dale Robinson,39,Chimere Dike,98,4,Carnell Tate
Saquon Barkley,RB,PHI,1,,,Tank Bigsby,135,,
Baker Mayfield,QB,TB,1,,,,,,
Josh Allen,QB,BUF,1,,,,,,
Malik Turner,WR,SF,6,Demarcus Robinson,,,,33,De'Zhaun Stribling
Sam Darnold,QB,SEA,1,,,,,,
Andrew Beck,RB,NYJ,3,Braelon Allen,,,,,
Jakobi Meyers,WR,JAX,2,Parker Washington,1,Brian Thomas Jr.,4,191,Josh Cameron
Justice Hill,RB,BAL,7,Adam Randall,,,,174,Adam Randall
Foster Moreau,TE,HOU,2,Dalton Schultz,,,,59,Marlin Klein
Ashton Dulin,WR,IND,4,Laquon Treadwell,,,,254,Deion Burks
Stephen Carlson,TE,CHI,2,Colston Loveland,,,,69,Sam Roush
Jake Browning,QB,TB,2,Baker Mayfield,,,,,
Alec Ingold,RB,LAC,4,Kimani Vidal,,,,,
Mecole Hardman,WR,BUF,5,Trent Sherfield,,,,125,Skyler Bell
Olamide Zaccheaus,WR,ATL,3,Zachariah Branch,,,,79,Zachariah Branch
Kyler Murray,QB,MIN,1,,,J.J. McCarthy,84,,
T.J. Hockenson,TE,MIN,1,,,,,159,Max Bredeson
Josh Oliver,TE,MIN,2,T.J. Hockenson,,,,159,Max Bredeson
Devin Singletary,RB,NYG,7,Damon Bankston,,,,,
Will Grier,QB,CAR,2,Bryce Young,,,,,
Tony Pollard,RB,TEN,1,,,Tyjae Spears,73,165,Nicholas Singleton
Jarrett Stidham,QB,DEN,2,Bo Nix,,,,,
Easton Stick,QB,IND,2,Daniel Jones,,,,,
Gardner Minshew,QB,ARI,2,Jacoby Brissett,,,,65,Carson Beck
Scott Miller,WR,CHI,4,Kalif Raymond,,,,89,Zavion Thomas
David Sills,WR,TB,5,Ted Hurst,,,,84,Ted Hurst
Lil'Jordan Humphrey,WR,DEN,6,Marvin Mims Jr.,,,,,
Greg Dortch,WR,DET,5,Cedrick Wilson Jr.,,,,168,Kendrick Law
Darius Slayton,WR,NYG,7,Braxton Berrios,,,,74,Malachi Fields
Ty Johnson,RB,BUF,7,Desmond Reid,,,,,
Tom Kennedy,WR,DET,6,Greg Dortch,,,,168,Kendrick Law
Travis Homer,RB,PIT,4,Kaleb Johnson,,,,,
Drew Sample,TE,CIN,2,Tanner Hudson,,,,221,Jack Endries
Parris Campbell,WR,DAL,5,Marquez Valdes-Scantling,,,,218,Anthony Smith
DK Metcalf,WR,PIT,1,,,Michael Pittman,13,47,Germie Bernard
Noah Fant,TE,NO,2,Juwan Johnson,,,,73,Oscar Delp
Gunner Olszewski,WR,NYG,8,Darius Slayton,,,,74,Malachi Fields
Terry McLaurin,WR,WAS,1,,,Antonio Williams,101,71,Antonio Williams
Marquise Brown,WR,PHI,3,Makai Lemon,,,,20,Makai Lemon
A.J. Brown,WR,NE,1,,,Romeo Doubs,85,,
David Montgomery,RB,HOU,1,,,Woody Marks,82,,
Dawson Knox,TE,BUF,2,Dalton Kincaid,,,,,
Josh Jacobs,RB,GB,1,,,,,,
Drew Lock,QB,SEA,2,Sam Darnold,,,,,
Daniel Jones,QB,IND,1,,,,,,
Cody White,WR,SEA,5,Tory Horton,,,,199,Emmanuel Henderson Jr.
Patrick Taylor,RB,SF,3,Kyle Juszczyk,,,,90,Kaelon Black
Dan Chisena,WR,CAR,5,David Moore,,,,83,Chris Brazzell II
Tyler Huntley,QB,BAL,2,Lamar Jackson,,,,,
Salvon Ahmed,RB,CHI,3,Kyle Monangai,,,,,
Sean McKeon,TE,IND,3,Mo Alie-Cox,,,,,
Juwan Johnson,TE,NO,1,,,,,73,Oscar Delp
Rico Dowdle,RB,PIT,1,,,Jaylen Warren,4,,
Lawrence Cager,TE,WAS,3,Anthony Firkser,,,,,
J.K. Dobbins,RB,DEN,1,,,RJ Harvey,7,108,Jonah Coleman
Isaiah Hodgins,WR,NYG,9,Gunner Olszewski,,,,74,Malachi Fields
Mason Kinsey,WR,TEN,6,Elic Ayomanor,,,,4,Carnell Tate
Nick Westbrook-Ikhine,WR,IND,5,Ashton Dulin,,,,254,Deion Burks
Reggie Gilliam,RB,NE,3,Rhamondre Stevenson,,,,245,Jam Miller
Tua Tagovailoa,QB,ATL,2,Michael Penix Jr.,4,,,,
Jonathan Taylor,RB,IND,1,,,,,237,Seth McGowan
Harrison Bryant,TE,SEA,3,Eric Saubert,,,,,
Colby Parkinson,TE,LA,2,Terrance Ferguson,38,Max Klare,42,61,Max Klare
Michael Pittman,WR,PIT,2,DK Metcalf,13,Germie Bernard,132,47,Germie Bernard
Jauan Jennings,WR,MIN,3,Jordan Addison,48,,,,
Jordan Love,QB,GB,1,,,,,,
AJ Dillon,RB,CAR,6,Miles Davis,,,,,
Quez Watkins,WR,PHI,4,Marquise Brown,,,,20,Makai Lemon
D'Andre Swift,RB,CHI,1,,,Kyle Monangai,55,,
Cole Kmet,TE,CHI,3,Stephen Carlson,,,,69,Sam Roush
Darnell Mooney,WR,NYG,2,Malik Nabers,173,Malachi Fields,26,74,Malachi Fields
Justin Jefferson,WR,MIN,1,,,Jordan Addison,73,,
Devin Duvernay,WR,ARI,4,Kendrick Bourne,,,,143,Reggie Virgil
K.J. Osborn,WR,TEN,7,Mason Kinsey,,,,4,Carnell Tate
Justin Herbert,QB,LAC,1,,,,,,
CeeDee Lamb,WR,DAL,1,,,George Pickens,7,218,Anthony Smith
Jalen Reagor,WR,MIA,2,Chris Bell,,,,75,Caleb Douglas
Jalen Hurts,QB,PHI,1,,,,,178,Cole Payton
Jerry Jeudy,WR,CLE,2,K.C. Concepcion,9,Denzel Boston,19,24,KC Concepcion
Tee Higgins,WR,CIN,2,Ja'Marr Chase,34,,,140,Colbie Young
Van Jefferson,WR,WAS,3,Antonio Williams,,,,71,Antonio Williams
Adam Trautman,TE,DEN,6,Dallen Bentley,,,,152,Justin Joly
Albert Okwuegbunam,TE,LV,7,Patrick Gurd,,,,,
DeeJay Dallas,RB,JAX,4,Ameer Abdullah,,,,,
Tyler Johnson,WR,DAL,6,Parris Campbell,,,,218,Anthony Smith
Charlie Woerner,TE,ATL,3,Austin Hooper,,,,,
Joe Burrow,QB,CIN,1,,,,,,
Chris Blair,WR,ATL,4,Olamide Zaccheaus,,,,79,Zachariah Branch
Tim Jones,WR,JAX,5,Travis Hunter,,,,191,Josh Cameron
Shane Zylstra,TE,BUF,3,Dawson Knox,,,,,
Rashod Bateman,WR,BAL,2,Zay Flowers,107,Ja'Kobi Lane,57,80,Ja'Kobi Lane
Nico Collins,WR,HOU,1,,,Jayden Higgins,112,204,Lewis Bond
Chuba Hubbard,RB,CAR,1,,,Jonathon Brooks,47,,
Brevin Jordan,TE,HOU,3,Foster Moreau,,,,59,Marlin Klein
Elijah Mitchell,RB,PHI,3,Tank Bigsby,,,,,
Gary Brightwell,RB,CIN,2,Chase Brown,,,,,
Quintin Morris,TE,JAX,2,Brenton Strange,,,,56,Nate Boerkircher
Jaylen Waddle,WR,DEN,1,,,Courtland Sutton,8,,
Dyami Brown,WR,WAS,4,Van Jefferson,,,,71,Antonio Williams
John Bates,TE,WAS,4,Lawrence Cager,,,,,
Tylan Wallace,WR,CLE,5,Aaron Anderson,,,,24,KC Concepcion
Ihmir Smith-Marsette,WR,ARI,5,Devin Duvernay,,,,143,Reggie Virgil
Noah Gray,TE,KC,2,Travis Kelce,,,,,
Simi Fehoko,WR,ARI,6,Ihmir Smith-Marsette,,,,143,Reggie Virgil
Shane Buechele,QB,BUF,3,Kyle Allen,,,,,
Adam Prentice,RB,DEN,4,Jonah Coleman,,,,108,Jonah Coleman
Jack Stoll,TE,CLE,2,Harold Fannin Jr.,,,,170,Joe Royer
Brock Wright,TE,DET,3,Tyler Conklin,,,,,
Jaret Patterson,RB,LAC,5,Alec Ingold,,,,,
Brandon Smith,WR,PIT,4,Germie Bernard,,,,47,Germie Bernard
Feleipe Franks,TE,CAR,1,,,,,,
Austin Trammell,WR,JAX,6,Tim Jones,,,,191,Josh Cameron
Kene Nwangwu,RB,NYJ,4,Andrew Beck,,,,,
Tutu Atwell,WR,MIA,3,Jalen Reagor,,,,75,Caleb Douglas
Ben Skowronek,WR,PIT,5,Brandon Smith,,,,47,Germie Bernard
Rhamondre Stevenson,RB,NE,2,TreVeyon Henderson,17,,,245,Jam Miller
Kylen Granson,TE,TEN,2,Gunnar Helm,,,,225,Jaren Kanak
Sam Ehlinger,QB,DEN,3,Jarrett Stidham,,,,,
Luke Farrell,TE,SF,3,Jake Tonges,,,,,
Pat Freiermuth,TE,PIT,7,Darnell Washington,,,,169,Riley Nowakowski
Davis Mills,QB,HOU,2,C.J. Stroud,,,,,
Ja'Marr Chase,WR,CIN,1,,,Tee Higgins,34,140,Colbie Young
DeVonta Smith,WR,PHI,1,,,Makai Lemon,68,20,Makai Lemon
Kenneth Gainwell,RB,TB,2,Bucky Irving,62,Sean Tucker,86,,
Michael Carter,RB,TEN,4,Nicholas Singleton,,,,165,Nicholas Singleton
Justin Fields,QB,KC,4,Garrett Nussmeier,,,,249,Garrett Nussmeier
Terrace Marshall Jr.,WR,MIA,4,Tutu Atwell,,,,75,Caleb Douglas
Michael Bandy,WR,DEN,7,Lil'Jordan Humphrey,,,,,
Amon-Ra St. Brown,WR,DET,1,,,Jameson Williams,34,168,Kendrick Law
Kyle Pitts,TE,ATL,1,,,,,,
Trevor Lawrence,QB,JAX,1,,,,,,
Mac Jones,QB,SF,2,Brock Purdy,,,,,
Travis Etienne,RB,NO,1,,,Alvin Kamara,104,,
Elijah Moore,WR,PHI,5,Quez Watkins,,,,20,Makai Lemon
Josh Palmer,WR,BUF,6,Mecole Hardman,,,,125,Skyler Bell
Javonte Williams,RB,DAL,1,,,Jaydon Blue,183,,
Hunter Long,TE,JAX,3,Quintin Morris,,,,56,Nate Boerkircher
Tommy Tremble,TE,CAR,2,Feleipe Franks,,,,,
Trey Lance,QB,LAC,2,Justin Herbert,,,,,
Zach Wilson,QB,NO,2,Tyler Shough,,,,,
Nikola Kalinic,TE,CHI,4,Cole Kmet,,,,69,Sam Roush
Lance McCutcheon,WR,TEN,8,K.J. Osborn,,,,4,Carnell Tate
Sam Howell,QB,DAL,2,Dak Prescott,,,,,
Cole Turner,TE,MIA,1,,,,,87,Will Kacmarek
Tyler Badie,RB,DEN,5,Adam Prentice,,,,108,Jonah Coleman
Grant Calcaterra,TE,PHI,4,Johnny Mundt,,,,54,Eli Stowers
Dareke Young,WR,LV,5,Phillip Dorsett,,,,195,Malik Benson
Samori Toure,WR,PHI,6,Elijah Moore,,,,20,Makai Lemon
Jake Tonges,TE,SF,2,George Kittle,1,,,,
Tyler Goodson,RB,ATL,3,Brian Robinson,,,,,
Britain Covey,WR,PHI,7,Samori Toure,,,,20,Makai Lemon
Irvin Charles,WR,SEA,6,Cody White,,,,199,Emmanuel Henderson Jr.
Bam Knight,RB,ARI,5,Trey Benson,,,,3,Jeremiyah Love
Isiah Pacheco,RB,DET,2,Jahmyr Gibbs,142,,,,
Jaylen Warren,RB,PIT,2,Rico Dowdle,4,Kaleb Johnson,123,,
Kevin Austin Jr.,WR,NO,4,Devaughn Vele,,,,8,Jordyn Tyson
Drake London,WR,ATL,1,,,Zachariah Branch,185,79,Zachariah Branch
Chris Olave,WR,NO,1,,,Jordyn Tyson,62,8,Jordyn Tyson
Jameson Williams,WR,DET,2,Amon-Ra St. Brown,34,Isaac TeSlaa,150,168,Kendrick Law
George Pickens,WR,DAL,2,CeeDee Lamb,7,Ryan Flournoy,196,218,Anthony Smith
James Cook,RB,BUF,1,,,Ray Davis,180,,
Greg Dulcich,TE,MIA,4,Will Kacmarek,,,,87,Will Kacmarek
Rachaad White,RB,WAS,1,,,Jacory Croskey-Merritt,9,187,Kaytron Allen
Dameon Pierce,RB,PHI,4,Elijah Mitchell,,,,,
Khalil Shakir,WR,BUF,2,DJ Moore,52,Keon Coleman,126,125,Skyler Bell
Tyler Allgeier,RB,ARI,3,James Conner,6,Trey Benson,25,3,Jeremiyah Love
Jerome Ford,RB,WAS,6,Robert Henry,,,,187,Kaytron Allen
Ty Chandler,RB,NO,5,Devin Neal,,,,,
Teagan Quitoriano,TE,ARI,2,Trey McBride,,,,,
James Mitchell,TE,CAR,3,Tommy Tremble,,,,,
Jalen Nailor,WR,LV,2,Tre Tucker,1,Jack Bech,96,195,Malik Benson
Andrew Ogletree,TE,IND,4,Sean McKeon,,,,,
Mike Woods,WR,DEN,8,Michael Bandy,,,,,
Connor Heyward,TE,LV,3,Ian Thomas,,,,,
Ko Kieft,TE,TB,2,Cade Otton,,,,185,Bauer Sharp
Chris Oladokun,QB,KC,2,Patrick Mahomes,,,,249,Garrett Nussmeier
Skylar Thompson,QB,BAL,3,Tyler Huntley,,,,,
Brittain Brown,RB,CHI,4,Salvon Ahmed,,,,,
Zaire Mitchell-Paden,TE,NO,3,Noah Fant,,,,73,Oscar Delp
Tanner Conner,TE,NYG,4,Chris Manhertz,,,,,
Brandon Johnson,WR,LV,6,Dareke Young,,,,195,Malik Benson
Jalen Virgil,WR,BUF,7,Josh Palmer,,,,125,Skyler Bell
Kendric Pryor,WR,CIN,3,Tee Higgins,,,,140,Colbie Young
Stone Smartt,TE,PHI,5,Grant Calcaterra,,,,54,Eli Stowers
Sincere McCormick,RB,SF,4,Patrick Taylor,,,,90,Kaelon Black
Jordan Mason,RB,MIN,2,Aaron Jones,29,Demond Claiborne,82,198,Demond Claiborne
Lucas Krull,TE,DEN,1,,,,,152,Justin Joly
Rashid Shaheed,WR,SEA,2,Jaxon Smith-Njigba,99,Cooper Kupp,48,199,Emmanuel Henderson Jr.
Ronnie Rivers,RB,LA,4,Jarquez Hunter,,,,,
Malik Davis,RB,DAL,3,Jaydon Blue,,,,,
Dennis Houston,WR,TB,6,David Sills,,,,84,Ted Hurst
Julius Chestnut,RB,TEN,5,Michael Carter,,,,165,Nicholas Singleton
John Metchie III,WR,CAR,6,Dan Chisena,,,,83,Chris Brazzell II
Alec Pierce,WR,IND,1,,,Josh Downs,55,254,Deion Burks
Jalen Tolbert,WR,MIA,11,Caleb Douglas,,,,75,Caleb Douglas
Maurice Alexander,WR,CHI,5,Scott Miller,,,,89,Zavion Thomas
Garrett Wilson,WR,NYJ,1,,,Omar Cooper,129,30,Omar Cooper Jr.
Jahan Dotson,WR,ATL,10,Keelan Marion,,,,79,Zachariah Branch
Treylon Burks,WR,WAS,5,Dyami Brown,,,,71,Antonio Williams
Trey McBride,TE,ARI,1,,,,,,
Velus Jones Jr.,RB,SEA,4,Emanuel Wilson,,,,32,Jadarian Price
Brian Robinson,RB,ATL,2,Bijan Robinson,144,,,,
Jelani Woods,TE,NYJ,3,Mason Taylor,,,,16,Kenyon Sadiq
KaVontae Turpin,WR,DAL,7,Tyler Johnson,,,,218,Anthony Smith
Jeremy Ruckert,TE,NYJ,4,Jelani Woods,,,,16,Kenyon Sadiq
Chig Okonkwo,TE,WAS,1,,,,,,
Romeo Doubs,WR,NE,2,A.J. Brown,85,Kayshon Boutte,43,,
Danny Gray,WR,PHI,8,Britain Covey,,,,20,Makai Lemon
Brock Purdy,QB,SF,1,,,,,,
Calvin Austin III,WR,NYG,10,Isaiah Hodgins,,,,74,Malachi Fields
Isaiah Likely,TE,NYG,1,,,Theo Johnson,23,,
Kyren Williams,RB,LA,1,,,Blake Corum,83,,
Jake Ferguson,TE,DAL,1,,,Michael Trigg,81,,
Charlie Kolar,TE,LAC,3,David Njoku,,,,,
Skyy Moore,WR,GB,4,Matthew Golden,,,,,
Pierre Strong,RB,GB,2,Josh Jacobs,,,,,
Kenny Pickett,QB,CAR,3,Will Grier,,,,,
Tyquan Thornton,WR,KC,3,Xavier Worthy,,,,176,Cyrus Allen
Bailey Zappe,QB,NYJ,1,,,,,110,Cade Klubnik
Daniel Bellinger,TE,TEN,3,Kylen Granson,,,,225,Jaren Kanak
Wan'Dale Robinson,WR,TEN,2,Carnell Tate,5,Calvin Ridley,39,4,Carnell Tate
Breece Hall,RB,NYJ,1,,,Braelon Allen,138,,
Christian Watson,WR,GB,1,,,Jayden Reed,23,,
Malik Willis,QB,MIA,1,,,,,,
Cade Otton,TE,TB,1,,,,,185,Bauer Sharp
Kenneth Walker III,RB,KC,1,,,Emmett Johnson,132,161,Emmett Johnson
Xavier Smith,WR,LA,3,Davante Adams,,,,197,CJ Daniels
Israel Abanikanda,RB,DAL,4,Malik Davis,,,,,
Sean Clifford,QB,CIN,4,Josh Johnson,,,,,
Dontayvion Wicks,WR,PHI,11,Darius Cooper,,,,20,Makai Lemon
Will Mallory,TE,IND,5,Andrew Ogletree,,,,,
Eric Gray,RB,NYG,4,Patrick Ricard,,,,,
Evan Hull,RB,HOU,3,Woody Marks,,,,,
Tanner McKee,QB,PHI,3,Andy Dalton,,,,178,Cole Payton
Lew Nichols III,RB,PIT,5,Travis Homer,,,,,
Tyson Bagent,QB,CHI,3,Case Keenum,,,,,
Zavier Scott,RB,MIN,5,C.J. Ham,,,,198,Demond Claiborne
Keaton Mitchell,RB,LAC,2,Omarion Hampton,136,Kimani Vidal,30,,
Tommy DeVito,QB,NE,2,Drake Maye,,,,234,Behren Morton
Brady Russell,RB,SEA,5,Velus Jones Jr.,,,,32,Jadarian Price
Ben VanSumeren,RB,BUF,3,Ray Davis,,,,,
Jason Brownlee,WR,KC,4,Tyquan Thornton,,,,176,Cyrus Allen
Xavier Gipson,WR,NYG,11,Calvin Austin III,,,,74,Malachi Fields
E.J. Jenkins,TE,PHI,6,Stone Smartt,,,,54,Eli Stowers
Nikko Remigio,WR,KC,5,Jason Brownlee,,,,176,Cyrus Allen
Bijan Robinson,RB,ATL,1,,,Brian Robinson,144,,
Jaxon Smith-Njigba,WR,SEA,1,,,Rashid Shaheed,99,199,Emmanuel Henderson Jr.
