name,pos,team,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Kaleb Johnson,RB,PIT,3,Jaylen Warren,123,,,,
Tai Felton,WR,MIN,5,Jeshaun Jones,,,,,
Dylan Sampson,RB,CLE,2,Quinshon Judkins,106,,,,
Jaylin Lane,WR,WAS,7,Luke McCaffrey,,,,71,Antonio Williams
Elic Ayomanor,WR,TEN,5,Chimere Dike,25,,,4,Carnell Tate
Jordan Watkins,WR,SF,9,Jacob Cowing,,,,33,De'Zhaun Stribling
Jordan James,RB,SF,7,Isaac Guerendo,,,,90,Kaelon Black
DJ Giddens,RB,IND,5,Anderson Castle,,,,237,Seth McGowan
KeAndre Lambert-Smith,WR,LAC,6,JaQuae Jackson,,,,105,Brenen Thompson
Mitchell Evans,TE,CAR,5,Ja'Tavion Sanders,,,,,
Oronde Gadsden II,TE,LAC,1,,,David Njoku,76,,
Jackson Hawes,TE,BUF,4,Shane Zylstra,,,,,
Ollie Gordon II,RB,MIA,8,D.J. Herman,,,,,
Devin Neal,RB,NO,4,Kendre Miller,37,,,,
Will Howard,QB,PIT,2,Mason Rudolph,,,,76,Drew Allar
Kalel Mullings,RB,TEN,6,Julius Chestnut,,,,165,Nicholas Singleton
Riley Leonard,QB,IND,4,Anthony Richardson,,,,,
Tahj Brooks,RB,CIN,4,Kendall Milton,,,,,
Graham Mertz,QB,HOU,3,Davis Mills,,,,,
Gavin Bartholomew,TE,MIN,3,Josh Oliver,,,,159,Max Bredeson
Jimmy Horn Jr.,WR,CAR,9,Xavier Legette,,,,83,Chris Brazzell II
Cam Miller,QB,MIA,2,Malik Willis,,,,,
Thomas Fidone II,TE,NYG,5,Tanner Conner,,,,,
Quinn Ewers,QB,MIA,3,Cam Miller,,,,,
Kyle Monangai,RB,CHI,2,D'Andre Swift,55,,,,
Tez Johnson,WR,TB,8,Kameron Johnson,,,,84,Ted Hurst
LeQuint Allen Jr.,RB,JAX,6,J'mari Taylor,,,,,
Caleb Lohner,TE,DEN,3,Nate Adkins,,,,152,Justin Joly
Dominic Lovett,WR,DET,8,Malik Cunningham,,,,168,Kendrick Law
Jacory Croskey-Merritt,RB,WAS,2,Rachaad White,9,Kaytron Allen,76,187,Kaytron Allen
Moliki Matavao,TE,NO,5,Treyton Welch,,,,73,Oscar Delp
Junior Bergen,WR,SF,10,Jordan Watkins,,,,33,De'Zhaun Stribling
Gage Larvadain,WR,CLE,9,Malachi Corley,,,,24,KC Concepcion
Ahmani Marshall,RB,CLE,7,T.J. Harden,,,,,
Ja'Seem Reed,WR,CAR,10,Jimmy Horn Jr.,,,,83,Chris Brazzell II
JP Richardson,WR,CHI,6,Maurice Alexander,,,,89,Zavion Thomas
Jahdae Walker,WR,CHI,7,JP Richardson,,,,89,Zavion Thomas
Bryce Pierre,TE,CAR,6,Mitchell Evans,,,,,
Andrew Armstrong,WR,KC,7,Jimmy Holiday,,,,176,Cyrus Allen
A.J. Henning,WR,MIA,9,Kevin Coleman,,,,75,Caleb Douglas
Theo Wease Jr.,WR,MIA,6,Tahj Washington,,,,75,Caleb Douglas
Jacoby Jones,WR,WAS,8,Jaylin Lane,,,,71,Antonio Williams
Chandler Brayboy,WR,JAX,7,Austin Trammell,,,,191,Josh Cameron
Patrick Herbert,TE,JAX,4,Hunter Long,,,,56,Nate Boerkircher
Eli Pancol,WR,IND,8,Anthony Gould,,,,254,Deion Burks
Coleman Owen,WR,IND,9,Eli Pancol,,,,254,Deion Burks
Stephen Gosnell,WR,BUF,10,Mac Dalena,,,,125,Skyler Bell
Keleki Latu,TE,BUF,5,Jackson Hawes,,,,,
Jordan Moore,WR,CIN,8,Xavier Johnson,,,,140,Colbie Young
Bryson Green,WR,ARI,10,Xavier Weaver,,,,143,Reggie Virgil
