name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
DeVonta Smith,WR,12.017611191270193,11.352941176470589,27.797399041752225,3.4000000000000004,0.47270502837108896,1,,,Makai Lemon,76,20,Makai Lemon
Malik Willis,QB,11.947671824642239,12.0,27.27173169062286,1.8000000000000003,0.7468175329372602,1,,,,,,
Rome Odunze,WR,11.921863875299676,11.75,24.246406570841888,2.0,0.38242374792230793,1,,,Luther Burden III,3,89,Zavion Thomas
Derrick Henry,RB,11.823838747983782,15.705882352941176,32.6570841889117,1.8000000000000003,0.48875427911411035,1,,,Justice Hill,146,174,Adam Randall
Quentin Johnston,WR,11.69713672386107,12.615384615384615,24.985626283367555,1.5,0.3174319493218574,2,Ladd McConkey,50,Tre Harris,96,105,Brenen Thompson
Marvin Harrison Jr.,WR,11.674802165886899,10.166666666666666,24.057494866529773,2.9,0.3539129979903131,1,,,Michael Wilson,25,143,Reggie Virgil
Brian Thomas Jr.,WR,11.542686838528507,9.214285714285714,23.89869952087611,1.3,0.14461047151463685,3,Parker Washington,7,Travis Hunter,78,191,Josh Cameron
Tyler Warren,TE,11.502045466801677,10.529411764705882,24.27378507871321,1.6,0.4413390782895427,1,,,,,,
Ladd McConkey,WR,11.440815142922682,10.875,24.804928131416837,0.9000000000000001,0.19166794693265263,1,,,Quentin Johnston,50,105,Brenen Thompson
Alec Pierce,WR,11.41897284439119,11.666666666666666,26.33264887063655,3.0,0.39500431177260975,1,,,Josh Downs,36,254,Deion Burks
Kenneth Walker III,RB,11.389486326230806,10.411764705882353,25.864476386036962,1.9,0.7139922087323053,1,,,Emmett Johnson,124,161,Emmett Johnson
Christian Watson,WR,11.33969610589002,12.6,27.307323750855577,3.4000000000000004,0.38789987885799954,1,,,Jayden Reed,23,,
DK Metcalf,WR,11.326406824727448,12.066666666666666,28.71457905544148,9.7,0.6586141525983497,1,,,Michael Pittman,6,47,Germie Bernard
Emeka Egbuka,WR,11.244622850343623,11.058823529411764,23.88227241615332,1.3,0.09315930100942278,1,,,Chris Godwin Jr.,53,84,Ted Hurst
Cam Skattebo,RB,10.993144659225496,15.125,24.569472963723477,0.4,0.12758222337921246,1,,,Tyrone Tracy Jr.,125,,
Jordan Addison,WR,10.98101260662733,9.142857142857142,24.594113620807665,1.4,0.10954495005549389,2,Justin Jefferson,88,Jauan Jennings,37,,
Bucky Irving,RB,10.925908836210498,13.2,24.035592060232716,0.4,0.09840405391958373,1,,,Kenneth Gainwell,48,,
TreVeyon Henderson,RB,10.890014547423338,11.294117647058824,23.860369609856264,0.7,0.1602944183840661,1,,,Rhamondre Stevenson,17,245,Jam Miller
Terry McLaurin,WR,10.835816916633956,10.9,30.962354551676935,5.5,0.6544924525566602,1,,,Antonio Williams,115,71,Antonio Williams
Travis Etienne,RB,10.77960211850996,14.058823529411764,27.59753593429158,1.6,0.24432675713206908,1,,,Alvin Kamara,99,,
Geno Smith,QB,10.766336096487167,10.733333333333333,35.893223819301845,1.0,0.6133828996282528,4,Cade Klubnik,,,,110,Cade Klubnik
Michael Wilson,WR,10.70103460968824,12.529411764705882,26.521560574948666,1.3,0.15204753725316184,2,Marvin Harrison Jr.,25,,,143,Reggie Virgil
Wan'Dale Robinson,WR,10.666175615361228,13.125,25.65366187542779,3.3000000000000003,0.3211586377767136,1,,,Carnell Tate,4,4,Carnell Tate
Kyle Pitts,TE,10.589000923727543,11.823529411764707,25.90280629705681,1.5,0.31926504109967535,1,,,,,,
Jakobi Meyers,WR,10.575429434183992,10.5,29.809719370294317,2.0,0.2246314467054841,1,,,Parker Washington,0,191,Josh Cameron
Jaylen Warren,RB,10.573314316692901,12.75,27.83299110198494,2.2,0.466508770022596,1,,,Rico Dowdle,8,,
Kyler Murray,QB,10.520900051783288,14.6,29.06776180698152,0.4,0.11485385465439063,1,,,J.J. McCarthy,72,,
Carson Wentz,QB,10.50538427453333,13.2,33.67008898015058,1.0,0.2694648128429934,3,J.J. McCarthy,,,,,
Khalil Shakir,WR,10.503829482698626,9.875,26.576317590691307,2.3,0.20421371181422324,2,DJ Moore,49,Keon Coleman,131,125,Skyler Bell
Rhamondre Stevenson,RB,10.29851052888805,11.928571428571429,28.520191649555098,2.1,0.4698608259125445,2,TreVeyon Henderson,17,,,245,Jam Miller
Parker Washington,WR,10.280812250698276,11.0625,24.449007529089666,1.2,0.13462381827828448,2,Jakobi Meyers,0,Brian Thomas Jr.,7,191,Josh Cameron
Tony Pollard,RB,10.252183825021968,10.235294117647058,29.338809034907598,2.7,0.5580889778452552,1,,,Tyjae Spears,61,165,Nicholas Singleton
Jaylen Waddle,WR,10.247160604100953,11.6875,27.76728268309377,1.6,0.16225878383412629,1,,,Courtland Sutton,10,,
George Kittle,TE,10.215666091076887,14.090909090909092,32.8952772073922,4.2,0.6469059758900157,1,,,Jake Tonges,24,,
J.K. Dobbins,RB,10.211610155720095,10.8,27.707049965776864,2.0,0.48114886802110607,2,RJ Harvey,8,Jonah Coleman,73,108,Jonah Coleman
Kenny Gainwell,RB,10.129249452148697,12.294117647058824,27.468856947296374,2.2,0.5476070822180402,2,Bucky Irving,48,Sean Tucker,98,,
Chris Godwin Jr.,WR,9.882483429724758,8.666666666666666,30.510609171800137,10.6,0.7597478493359318,2,Emeka Egbuka,53,Jalen McMillan,53,84,Ted Hurst
Jauan Jennings,WR,9.874882259497392,11.133333333333333,29.144421629021217,3.0,0.24298498770924307,3,Jordan Addison,37,,,,
Romeo Doubs,WR,9.810535945601291,9.9375,26.38466803559206,2.4,0.2715501830579778,2,A.J. Brown,91,Kayshon Boutte,59,,
Jake Ferguson,TE,9.735819361267366,10.588235294117647,27.619438740588638,3.1,0.7182017388630908,1,,,Michael Trigg,104,,
Jayden Reed,WR,9.691274569369005,9.2,26.34360027378508,2.2,0.250189759142327,2,Christian Watson,23,Matthew Golden,27,,
Josh Downs,WR,9.661516829716074,8.125,25.05407255304586,1.4,0.17937141504069082,2,Alec Pierce,36,,,254,Deion Burks
Davis Mills,QB,9.589544828222524,10.5,27.863107460643395,2.6,0.3919342677271387,2,C.J. Stroud,,,,,
Sam LaPorta,TE,9.561767869463887,11.333333333333334,25.634496919917865,2.1,0.5016412189018983,1,,,,,,
Xavier Worthy,WR,9.5172420506305,7.285714285714286,23.34839151266256,1.2,0.2768594600248917,2,Rashee Rice,93,,,176,Cyrus Allen
Chuba Hubbard,RB,9.342893557149125,7.466666666666667,27.225188227241617,2.4,0.5673876096528675,1,,,Jonathon Brooks,43,,
Rico Dowdle,RB,9.287033516529638,11.823529411764707,28.216290212183434,1.2,0.2487309910656491,2,Jaylen Warren,8,Kaleb Johnson,134,,
Colston Loveland,TE,9.242580649618052,9.875,22.39561943874059,2.0,0.358975803441701,1,,,,,69,Sam Roush
Rashid Shaheed,WR,9.2371092967576,8.11111111111111,28.00273785078713,2.2,0.16570492710581078,2,Jaxon Smith-Njigba,112,Cooper Kupp,41,199,Emmanuel Henderson Jr.
Harold Fannin Jr.,TE,9.20092956443953,11.1875,22.116358658453116,0.5,0.3117503497460895,1,,,,,170,Joe Royer
Jerry Jeudy,WR,9.186001563000135,6.588235294117647,27.356605065023956,3.1,0.5024985890178353,2,K.C. Concepcion,6,Denzel Boston,24,24,KC Concepcion
RJ Harvey,RB,9.114808975437194,11.352941176470589,25.571526351813826,0.6,0.13413251625701786,1,,,J.K. Dobbins,8,108,Jonah Coleman
Tucker Kraft,TE,9.091769523693374,14.125,25.82614647501711,1.3,0.3788895632805043,1,,,,,,
