,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN Std,Sleeper Std,Y Std,Average,AVGvFP,Landmine,Round,Pick
,Mike Evans,SF,8,WR,64,50,67,61,61,63,0.26,5.4,,64
,Jalen Hurts,PHI,10,QB,62,61,58,73,64,65,0.07,5.6,,65
,Tony Pollard,TEN,9,RB,66,73,64,66,77,69,-0.05,5.6,,66
,Harold Fannin,CLE,11,TE,71,74,72,65,85,74,0,5.5,,67
,Jaylen Warren,PIT,9,RB,74,67,98,53,74,75,0.12,5.1,,68
,Brian Thomas,JAC,7,WR,78,64,79,83,65,75.7,0.18,5.4,,69
,DK Metcalf,PIT,9,WR,70,65,69,78,80,75.7,0.16,5.6,,70
,Marvin Harrison,ARI,14,WR,72,84,68,87,73,76,-0.1,5.7,,71
,Kyle Pitts,ATL,11,TE,75,91,71,77,82,76.7,-0.16,5.6,,72
,Rhamondre Stevenson,NE,11,RB,79,78,97,59,75,77,-0.01,5.1,7,73
,Jordyn Tyson,NO,8,WR,67,108,76,74,81,77,-0.29,5.5,,74
,Courtland Sutton,DEN,10,WR,69,72,65,76,94,78.3,0.09,5.8,,75
,Alec Pierce,IND,13,WR,73,76,66,94,78,79.3,0.04,5.8,,76
,Jadarian Price,SEA,11,RB,68,68,63,111,66,80,0.18,5.8,,77
,Chuba Hubbard,CAR,5,RB,83,86,100,70,71,80.3,-0.07,5.1,,78
,Parker Washington,JAC,7,WR,86,94,77,97,67,80.3,-0.15,5.6,,79
,Rico Dowdle,PIT,9,RB,81,79,96,68,84,82.7,0.05,5.3,,80
,Makai Lemon,PHI,10,WR,77,103,81,81,88,83.3,-0.19,5.5,,81
,Tucker Kraft,GB,11,TE,80,56,104,75,72,83.7,0.49,5.1,,82
,Justin Herbert,LAC,7,QB,85,63,94,93,68,85,0.35,5.3,,83
,Caleb Williams,CHI,10,QB,82,66,87,98,70,85,0.29,5.5,,84
,Jaxson Dart,NYG,8,QB,84,89,75,89,92,85.3,-0.04,5.7,8,85
,Trevor Lawrence,JAC,7,QB,87,77,82,102,76,86.7,0.13,5.6,,86
,RJ Harvey,DEN,10,RB,88,88,122,42,99,87.7,0,4.9,,87
,Sam LaPorta,DET,6,TE,76,82,102,84,79,88.3,0.08,5.2,,88
,Kyle Monangai,CHI,10,RB,91,83,109,64,95,89.3,0.08,5.1,,89
,J.K. Dobbins,DEN,10,RB,90,97,99,79,93,90.3,-0.07,5.3,,90
,Michael Wilson,ARI,14,WR,92,100,88,80,103,90.3,-0.1,5.5,,91
,Dak Prescott,DAL,14,QB,89,75,83,107,83,91,0.21,5.7,,92
,Blake Corum,LAR,11,RB,96,80,121,72,90,94.3,0.18,5,,93
,George Kittle,SF,8,TE,102,98,73,109,102,94.7,-0.03,5.9,,94
,Jakobi Meyers,JAC,7,WR,93,95,90,82,116,96,0.01,5.6,,95
,Jordan Addison,MIN,6,WR,97,92,89,108,97,98,0.07,5.7,,96
,Brock Purdy,SF,8,QB,95,93,85,118,91,98,0.05,5.7,9,97
,Quentin Johnston,LAC,7,WR,113,85,93,122,86,100.3,0.18,5.6,,98
,Kenny Gainwell,TB,10,RB,104,114,101,92,111,101.3,-0.11,5.5,,99
,Michael Pittman,PIT,9,WR,98,102,78,119,108,101.7,0,5.9,,100
,Chris Godwin,TB,10,WR,108,87,127,95,87,103,0.18,5.1,,101
,Dalton Kincaid,BUF,7,TE,101,96,117,86,107,103.3,0.08,5.2,,102
,Patrick Mahomes,KC,5,QB,99,90,95,112,109,105.3,0.17,5.7,,103
,Dallas Goedert,PHI,10,TE,106,119,103,101,114,106,-0.11,5.6,,104
,Bo Nix,DEN,10,QB,103,101,84,134,101,106.3,0.05,5.9,,105
,Aaron Jones,MIN,6,RB,100,104,107,90,125,107.3,0.03,5.5,,106
,Ricky Pearsall,SF,8,WR,94,133,146,91,89,108.7,-0.18,4.8,,107
,Jacory Croskey-Merritt,WAS,7,RB,111,99,116,103,112,110.3,0.11,5.4,,108
,Matthew Stafford,LAR,11,QB,105,106,86,130,115,110.3,0.04,6,10,109
,Mark Andrews,BAL,13,TE,107,118,105,,119,112,-0.05,3.5,,110
,Xavier Worthy,KC,5,WR,121,109,92,135,110,112.3,0.03,5.9,,111
,Jayden Reed,GB,11,WR,115,105,114,131,96,113.7,0.08,5.5,,112
,Travis Kelce,KC,5,TE,110,110,110,117,117,114.7,0.04,5.6,,113
,Rachaad White,WAS,7,RB,114,121,108,138,105,117,-0.03,5.7,,114
,Jake Ferguson,DAL,14,TE,112,127,111,105,136,117.3,-0.08,5.6,,115
,Isaiah Likely,NYG,8,TE,117,117,118,125,113,118.7,0.01,5.5,,116
,Travis Hunter,JAC,7,WR,140,162,91,,148,119.5,-0.26,3.8,,117
,Wan'Dale Robinson,TEN,9,WR,109,123,113,116,130,119.7,-0.03,5.6,,118
,Jordan Mason,MIN,6,RB,116,111,138,123,104,121.7,0.1,5.2,,119
,Jonathon Brooks,CAR,5,RB,127,126,106,159,100,121.7,-0.03,5.8,,120
,Josh Downs,IND,13,WR,129,124,125,148,98,123.7,0,5.5,11,121
,Brian Robinson,ATL,11,RB,131,149,142,85,145,124,-0.17,5.2,,122
,Matthew Golden,GB,11,WR,122,154,80,176,118,124.7,-0.19,6.3,,123
,Zach Charbonnet,SEA,11,RB,125,116,124,110,143,125.7,0.08,5.5,,124
,Romeo Doubs,NE,11,WR,126,139,128,128,122,126,-0.09,5.5,,125
,Woody Marks,HOU,8,RB,118,115,123,115,144,127.3,0.11,5.6,,126
,Hunter Henry,NE,11,TE,119,142,119,99,169,129,-0.09,5.7,,127
,Tyler Allgeier,ARI,14,RB,135,129,157,96,135,129.3,0,5,,128
,Jayden Higgins,HOU,8,WR,128,113,129,140,123,130.7,0.16,5.5,,129
,KC Concepcion,CLE,11,WR,123,143,126,144,124,131.3,-0.08,5.6,,130
,Khalil Shakir,BUF,7,WR,124,137,115,133,147,131.7,-0.04,5.8,,131
,Jared Goff,DET,6,QB,130,107,136,147,120,134.3,0.26,5.5,,132
,Jalen Coker,CAR,5,WR,134,136,130,146,127,134.3,-0.01,5.6,12,133
,Tyrone Tracy,NYG,8,RB,137,128,155,121,128,134.7,0.05,5.1,,134
,Kyler Murray,MIN,6,QB,133,120,134,171,106,137,0.14,5.6,,135
