,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vFP,Landmine,Round,Pick
,Trey McBride,ARI,14,TE,23,23,31,0.35,5.2,,31
,Josh Allen,BUF,7,QB,15,26,32,0.23,5.1,,32
,Zay Flowers,BAL,13,WR,38,29,33,0.14,5.5,,33
,Javonte Williams,DAL,14,RB,35,33,34,0.03,5.5,,34
,Jaylen Waddle,DEN,10,WR,46,38,35,-0.08,6,,35
,Rashee Rice,KC,5,WR,29,31,36,0.16,5.1,,36
,Colston Loveland,CHI,10,TE,40,40,37,-0.08,5.6,4,37
,Garrett Wilson,NYJ,13,WR,45,36,38,0.06,5.6,,38
,Tetairoa McMillan,CAR,5,WR,39,41,39,-0.05,5.6,,39
,Ladd McConkey,LAC,7,WR,42,37,40,0.08,5.5,,40
,Travis Etienne,NO,8,RB,47,44,41,-0.07,5.8,,41
,D'Andre Swift,CHI,10,RB,52,46,42,-0.09,6,,42
,Emeka Egbuka,TB,10,WR,43,43,43,0,5.5,,43
,Luther Burden,CHI,10,WR,57,48,44,-0.08,6.1,,44
,Terry McLaurin,WAS,7,WR,56,49,45,-0.08,5.9,,45
,Cam Skattebo,NYG,8,RB,44,54,46,-0.15,5.7,,46
,DJ Moore,BUF,7,WR,60,55,47,-0.15,6.3,,47
,Tyler Warren,IND,13,TE,49,50,48,-0.04,5.6,,48
,Rome Odunze,CHI,10,WR,65,61,49,-0.2,6.6,5,49
,Lamar Jackson,BAL,13,QB,26,32,50,0.56,4.7,,50
,Bucky Irving,TB,10,RB,50,52,51,-0.02,5.5,,51
,Jameson Williams,DET,6,WR,61,47,52,0.11,5.7,,52
,Christian Watson,GB,11,WR,66,56,53,-0.05,6,,53
,Bhayshul Tuten,JAC,7,RB,63,63,54,-0.14,6.2,,54
,Parker Washington,JAC,7,WR,76,64,55,-0.14,6.6,,55
,Davante Adams,LAR,11,WR,55,51,56,0.1,5.3,,56
,David Montgomery,HOU,8,RB,53,53,57,0.08,5.3,,57
,Quinshon Judkins,CLE,11,RB,54,58,58,0,5.4,,58
,Jadarian Price,SEA,11,RB,67,60,59,-0.02,5.7,,59
,Mike Evans,SF,8,WR,64,62,60,-0.03,5.7,,60
,Drake Maye,NE,11,QB,36,35,61,0.74,4.5,6,61
,Rhamondre Stevenson,NE,11,RB,78,67,62,-0.07,6.3,,62
,Joe Burrow,CIN,6,QB,41,45,63,0.4,4.8,,63
,TreVeyon Henderson,NE,11,RB,59,65,64,-0.02,5.4,,64
,Jayden Daniels,WAS,7,QB,48,57,65,0.14,5,,65
,Jalen Hurts,PHI,10,QB,51,59,66,0.12,5.1,,66
,Tucker Kraft,GB,11,TE,69,72,67,-0.07,5.6,,67
,Marvin Harrison,ARI,14,WR,77,73,68,-0.07,5.9,,68
,Jaylen Warren,PIT,9,RB,74,69,69,0,5.6,,69
,Sam LaPorta,DET,6,TE,70,81,70,-0.14,5.7,,70
,Caleb Williams,CHI,10,QB,58,66,71,0.08,5.2,,71
,Brian Thomas,JAC,7,WR,79,78,72,-0.08,6,,72
,Carnell Tate,TEN,9,WR,71,68,73,0.07,5.2,7,73
,Justin Herbert,LAC,7,QB,62,70,74,0.06,5.2,,74
,Jonathon Brooks,CAR,5,RB,95,79,75,-0.05,6.4,,75
,DK Metcalf,PIT,9,WR,81,75,76,0.01,5.6,,76
,Harold Fannin,CLE,11,TE,72,82,77,-0.06,5.5,,77
,Dak Prescott,DAL,14,QB,68,77,78,0.01,5.2,,78
,Kyle Pitts,ATL,11,TE,75,85,79,-0.07,5.5,,79
,Trevor Lawrence,JAC,7,QB,73,71,80,0.13,5.1,,80
,Rico Dowdle,PIT,9,RB,83,74,81,0.09,5.4,,81
,Tony Pollard,TEN,9,RB,82,80,82,0.03,5.5,,82
,Chris Godwin,TB,10,WR,94,76,83,0.09,5.6,,83
,MarShawn Lloyd,GB,11,RB,167,86,84,-0.02,8.7,,84
,J.K. Dobbins,DEN,10,RB,92,88,85,-0.03,5.8,8,85
,Michael Wilson,ARI,14,WR,93,95,86,-0.09,6.1,,86
,Josh Downs,IND,13,WR,106,102,87,-0.15,6.8,,87
,George Kittle,SF,8,TE,89,93,88,-0.05,5.6,,88
,Chuba Hubbard,CAR,5,RB,85,91,89,-0.02,5.5,,89
,Jacory Croskey-Merritt,WAS,7,RB,107,92,90,-0.02,6.2,,90
,Quentin Johnston,LAC,7,WR,104,87,91,0.05,5.8,,91
,Stefon Diggs,WAS,7,WR,111,109,92,-0.16,6.9,,92
,Blake Corum,LAR,11,RB,98,89,93,0.04,5.5,,93
,De'Zhaun Stribling,SF,8,WR,125,125,94,-0.25,7.8,,94
,Jordan Addison,MIN,6,WR,108,105,95,-0.1,6.4,,95
,Jayden Reed,GB,11,WR,109,94,96,0.02,5.7,,96
,Brock Purdy,SF,8,QB,88,90,97,0.08,4.9,9,97
,Alec Pierce,IND,13,WR,99,100,98,-0.02,5.6,,98
,KC Concepcion,CLE,11,WR,124,118,99,-0.16,7.2,,99
,Courtland Sutton,DEN,10,WR,86,83,100,0.2,4.3,,100
,Matthew Golden,GB,11,WR,126,123,101,-0.18,7.3,,101
,Bo Nix,DEN,10,QB,87,96,102,0.06,5,,102
,Jordan Mason,MIN,6,RB,110,103,103,0,5.8,,103
