,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN Half,Sleeper Half,Y Half,Average,AVGvFP,Landmine,Round,Pick
,Jalen Hurts,PHI,10,QB,61,59,58,69,64,63.7,0.08,5.6,,64
,Jadarian Price,SEA,11,RB,66,74,63,62,66,63.7,-0.14,5.5,,65
,Mike Evans,SF,8,WR,59,52,76,57,61,64.7,0.24,5.3,,66
,Brian Thomas,JAC,7,WR,76,68,81,65,65,70.3,0.03,5.3,,67
,Marvin Harrison,ARI,14,WR,74,87,68,75,73,72,-0.17,5.6,,68
,Tony Pollard,TEN,9,RB,80,72,64,81,77,74,0.03,5.7,,69
,Jordyn Tyson,NO,8,WR,82,111,70,71,81,74,-0.33,5.6,,70
,Harold Fannin,CLE,11,TE,69,73,72,67,85,74.7,0.02,5.6,,71
,Alec Pierce,IND,13,WR,78,80,67,80,78,75,-0.06,5.7,,72
,DK Metcalf,PIT,9,WR,79,67,69,77,80,75.3,0.12,5.6,7,73
,Kyle Pitts,ATL,11,TE,75,83,71,74,82,75.7,-0.09,5.6,,74
,Sam LaPorta,DET,6,TE,72,82,73,78,79,76.7,-0.07,5.6,,75
,Parker Washington,JAC,7,WR,89,96,77,87,67,77,-0.2,5.5,,76
,Jaylen Warren,PIT,9,RB,68,65,96,66,74,78.7,0.21,5.2,,77
,Courtland Sutton,DEN,10,WR,87,71,65,83,94,80.7,0.14,5.8,,78
,Tucker Kraft,GB,11,TE,64,62,103,68,72,81,0.31,5.1,,79
,Caleb Williams,CHI,10,QB,73,66,87,86,70,81,0.23,5.4,,80
,Chuba Hubbard,CAR,5,RB,70,84,100,72,71,81,-0.04,5.1,,81
,Rhamondre Stevenson,NE,11,RB,77,76,97,73,75,81.7,0.07,5.2,,82
,Justin Herbert,LAC,7,QB,71,63,94,85,68,82.3,0.31,5.3,,83
,Trevor Lawrence,JAC,7,QB,86,77,82,94,76,84,0.09,5.5,,84
,Jaxson Dart,NYG,8,QB,84,89,75,88,92,85,-0.04,5.7,8,85
,Makai Lemon,PHI,10,WR,92,113,91,76,88,85,-0.25,5.4,,86
,Dak Prescott,DAL,14,QB,83,75,83,97,83,87.7,0.17,5.6,,87
,Michael Wilson,ARI,14,WR,91,92,80,82,103,88.3,-0.04,5.7,,88
,Rico Dowdle,PIT,9,RB,81,79,98,84,84,88.7,0.12,5.3,,89
,Michael Pittman,PIT,9,WR,101,91,66,98,108,90.7,0,6,,90
,RJ Harvey,DEN,10,RB,85,78,109,70,99,92.7,0.19,5.2,,91
,Brock Purdy,SF,8,QB,97,95,85,106,91,94,-0.01,5.7,,92
,Jordan Addison,MIN,6,WR,107,101,93,99,97,96.3,-0.05,5.6,,93
,Kyle Monangai,CHI,10,RB,88,85,116,79,95,96.7,0.14,5.1,,94
,J.K. Dobbins,DEN,10,RB,93,97,108,89,93,96.7,0,5.3,,95
,Bo Nix,DEN,10,QB,103,102,84,113,101,99.3,-0.03,5.8,,96
,Jonathon Brooks,CAR,5,RB,104,121,107,91,100,99.3,-0.18,5.4,9,97
,Jakobi Meyers,JAC,7,WR,106,88,88,95,116,99.7,0.13,5.7,,98
,Blake Corum,LAR,11,RB,94,93,122,90,90,100.7,0.08,5.1,,99
,George Kittle,SF,8,TE,95,98,102,100,102,101.3,0.03,5.5,,100
,Patrick Mahomes,KC,5,QB,96,90,95,101,109,101.7,0.13,5.6,,101
,Chris Godwin,TB,10,WR,90,81,127,93,87,102.3,0.26,5,,102
,Josh Downs,IND,13,WR,116,104,92,123,98,104.3,0,5.7,,103
,Quentin Johnston,LAC,7,WR,102,94,125,104,86,105,0.12,5.1,,104
,Matthew Stafford,LAR,11,QB,105,106,86,116,115,105.7,0,5.9,,105
,Kenny Gainwell,TB,10,RB,108,105,99,109,111,106.3,0.01,5.6,,106
,Jayden Reed,GB,11,WR,114,109,114,110,96,106.7,-0.02,5.4,,107
,Wan'Dale Robinson,TEN,9,WR,111,100,89,102,130,107,0.07,5.8,,108
,Dalton Kincaid,BUF,7,TE,98,99,119,96,107,107.3,0.08,5.3,10,109
,Ricky Pearsall,SF,8,WR,99,140,146,92,89,109,-0.22,4.8,,110
,Rachaad White,WAS,7,RB,115,115,106,118,105,109.7,-0.05,5.6,,111
,Matthew Golden,GB,11,WR,137,151,79,133,118,110,-0.27,6.1,,112
,Aaron Jones,MIN,6,RB,110,103,101,107,125,111,0.08,5.7,,113
,Travis Kelce,KC,5,TE,100,110,105,111,117,111,0.01,5.6,,114
,Dallas Goedert,PHI,10,TE,113,127,104,116,114,111.3,-0.12,5.6,,115
,Jacory Croskey-Merritt,WAS,7,RB,112,107,121,108,112,113.7,0.06,5.4,,116
,Mark Andrews,BAL,13,TE,119,126,111,114,119,114.7,-0.09,5.6,,117
,Xavier Worthy,KC,5,WR,121,122,115,120,110,115,-0.06,5.5,,118
,Jake Ferguson,DAL,14,TE,109,112,110,105,136,117,0.04,5.6,,119
,Isaiah Likely,NYG,8,TE,117,119,118,121,113,117.3,-0.01,5.5,,120
,Romeo Doubs,NE,11,WR,123,141,128,112,122,120.7,-0.14,5.4,11,121
,KC Concepcion,CLE,11,WR,127,155,126,115,124,121.7,-0.22,5.4,,122
,Jordan Mason,MIN,6,RB,120,125,138,125,104,122.3,-0.02,5.2,,123
,Jayden Higgins,HOU,8,WR,128,117,129,128,123,126.7,0.08,5.5,,124
,Jared Goff,DET,6,QB,118,108,136,126,120,127.3,0.18,5.3,,125
,Travis Hunter,JAC,7,WR,167,161,90,146,148,128,-0.2,6.2,,126
,Khalil Shakir,BUF,7,WR,133,129,113,130,147,130,0.01,5.8,,127
,Zach Charbonnet,SEA,11,RB,129,123,124,124,143,130.3,0.06,5.6,,128
,Oronde Gadsden,LAC,7,TE,126,153,,103,159,131,-0.14,5.5,,129
,Jalen Coker,CAR,5,WR,139,133,130,138,127,131.7,-0.01,5.5,,130
,Kyler Murray,MIN,6,QB,122,118,134,156,106,132,0.12,5.5,,131
,Chris Rodriguez,JAC,7,RB,138,136,141,142,121,134.7,-0.01,5.4,,132
,Woody Marks,HOU,8,RB,136,116,123,139,144,135.3,0.17,5.7,12,133
,Tyler Shough,NO,8,QB,131,114,135,140,133,136,0.19,5.5,,134
,Hunter Henry,NE,11,TE,135,146,120,119,169,136,-0.07,5.8,,135
,Tyrone Tracy,NYG,8,RB,130,128,155,131,128,138,0.08,5.2,,136
,Tyler Allgeier,ARI,14,RB,125,132,157,122,135,138,0.05,5.1,,137
,Rashid Shaheed,SEA,11,WR,145,147,132,151,137,140,-0.05,5.7,,138
,Malik Willis,MIA,6,QB,134,130,150,141,131,140.7,0.08,5.3,,139
,Baker Mayfield,TB,10,QB,132,124,149,143,132,141.3,0.14,5.4,,140
,Brian Robinson,ATL,11,RB,142,152,142,137,145,141.3,-0.07,5.5,,141
,Jordan Love,GB,11,QB,124,120,174,135,129,146,0.22,5,,142
,Stefon Diggs,FA,-,WR,147,166,178,136,126,146.7,-0.12,4.9,,143
,Daniel Jones,IND,13,QB,164,178,137,,158,147.5,-0.17,2.9,,144
,Alvin Kamara,NO,8,RB,146,131,139,160,149,149.3,0.14,5.7,13,145
,Jalen McMillan,TB,10,WR,161,172,144,,155,149.5,-0.13,2.8,,146
,Tyjae Spears,TEN,9,RB,143,138,166,147,139,150.7,0.09,5.2,,147
,Brenton Strange,JAC,7,TE,140,134,170,127,157,151.3,0.13,5.2,,148
,Tank Bigsby,PHI,10,RB,159,149,143,177,141,153.7,0.03,5.7,,149
,Isiah Pacheco,DET,6,RB,155,143,140,182,142,154.7,0.08,5.8,,150
,Dylan Sampson,CLE,11,RB,149,139,158,152,156,155.3,0.12,5.5,,151
,Jalen Nailor,LV,13,WR,188,196,161,,152,156.5,-0.2,2.5,,152
,Juwan Johnson,NO,8,TE,144,137,160,144,168,157.3,0.15,5.5,,153
,Keaton Mitchell,LAC,7,RB,156,148,168,170,134,157.3,0.06,5.3,,154
,T.J. Hockenson,MIN,6,TE,171,182,112,,205,158.5,-0.13,3.4,,155
,Adonai Mitchell,NYJ,13,WR,173,160,148,180,150,159.3,0,5.7,,156
,Braelon Allen,NYJ,13,RB,168,145,167,163,154,161.3,0.11,5.4,14,157
,Denzel Boston,CLE,11,WR,151,176,147,,177,162,-0.08,2.7,,158
,Omar Cooper,NYJ,13,WR,154,170,162,,163,162.5,-0.04,2.5,,159
,Ray Davis,BUF,7,RB,187,179,154,,172,163,-0.09,2.6,,160
,Mike Washington,LV,13,RB,170,190,156,,170,163,-0.14,2.6,,161
,Jauan Jennings,MIN,6,WR,150,144,164,149,179,164,0.14,5.5,,162
,Jonah Coleman,DEN,10,RB,141,174,188,,140,164,-0.06,2,,163
,Kenyon Sadiq,NYJ,13,TE,162,197,117,,211,164,-0.17,3.3,,164
,Chig Okonkwo,WAS,7,TE,152,169,192,,138,165,-0.02,1.9,,165
,Jerry Jeudy,CLE,11,WR,179,154,131,173,195,166.3,0.08,6.2,,166
,C.J. Stroud,HOU,8,QB,153,135,176,171,161,169.3,0.25,5.4,,167
,Calvin Ridley,TEN,9,WR,196,194,145,,196,170.5,-0.12,2.8,,168
,Tre Tucker,LV,13,WR,182,157,153,195,166,171.3,0.09,5.8,15,169
,Sam Darnold,SEA,11,QB,148,142,194,162,165,173.7,0.22,5.1,,170
,Cam Ward,TEN,9,QB,157,150,175,172,175,174,0.16,5.5,,171
,Antonio Williams,WAS,7,WR,172,219,152,,198,175,-0.2,2.7,,172
,Deebo Samuel,SF,8,WR,169,159,179,164,191,178,0.12,5.5,,173
,Kaytron Allen,WAS,7,RB,185,220,190,,167,178.5,-0.19,1.9,,174
,Bryce Young,CAR,5,QB,166,156,195,179,162,178.7,0.15,5.2,,175
,Emmett Johnson,KC,5,RB,165,193,,,181,181,-0.06,2.1,,176
,Greg Dulcich,MIA,6,TE,174,225,,,184,184,-0.18,2.1,,177
,James Conner,ARI,14,RB,160,171,171,,199,185,0.08,2.3,,178
,Ryan Flournoy,DAL,14,WR,194,167,181,,193,187,0.12,2.1,,179
,Jacoby Brissett,ARI,14,QB,192,199,,,188,188,-0.06,2,,180
,Isaac TeSlaa,DET,6,WR,177,177,187,,192,189.5,0.07,2,16,181
,Nicholas Singleton,TEN,9,RB,175,212,197,,185,191,-0.1,1.8,,182
,Tre' Harris,LAC,7,WR,189,175,180,,203,191.5,0.09,2.1,,183
,Dalton Schultz,HOU,8,TE,163,165,183,150,243,192,0.16,5.7,,184
,Jaylin Noel,HOU,8,WR,195,173,184,,204,194,0.12,2.1,,185
,Terrance Ferguson,LAR,11,TE,176,200,159,,232,195.5,-0.02,2.5,,186
,AJ Barner,SEA,11,TE,158,181,193,,200,196.5,0.09,1.9,,187
,Justice Hill,BAL,13,RB,214,208,172,,222,197,-0.05,2.3,,188
,Jaydon Blue,DAL,14,RB,200,215,215,,187,201,-0.07,1.5,,189
,Kimani Vidal,LAC,7,RB,191,158,199,186,221,202,0.28,5.6,,190
,Sean Tucker,TB,10,RB,193,162,,188,218,203,0.25,5.5,,191
,MarShawn Lloyd,GB,11,RB,198,216,214,,194,204,-0.06,1.5,,192
,Rashod Bateman,BAL,13,WR,215,189,163,,247,205,0.08,2.4,17,193
,Kayshon Boutte,NE,11,WR,190,164,207,181,231,206.3,0.26,5.5,,194
,Ollie Gordon,MIA,6,RB,207,214,202,,214,208,-0.03,1.7,,195
,Brandon Aiyuk,SF,8,WR,184,187,208,,213,210.5,0.13,1.6,,196
,Tank Dell,HOU,8,WR,213,198,165,,256,210.5,0.06,2.4,,197
,George Holani,SEA,11,RB,211,202,216,,207,211.5,0.05,1.5,,198
,Emanuel Wilson,SEA,11,RB,197,168,,,215,215,0.28,1.5,,199
,Malik Washington,MIA,6,WR,208,201,203,,227,215,0.07,1.7,,200
