,,,,,,,,,,,,,,,,
,std,half,ppr,Player,Pos,Team,BYE,ESPN Std,ESPN PPR,Sleeper Std,Sleeper Half,Sleeper PPR,Proj Std,Proj Half,Proj PPR,Yahoo
,WR27,WR23,WR22,DJ Moore,WR,BUF,BUF / 7,26,24,26,24,25,131.33,169.23,207.13,24
,QB24,QB24,QB24,Sam Darnold,QB,SEA,SEA / 11,24,24,23,20,20,240.19,240.19,240.19,22
,QB25,QB25,QB25,Bryce Young,QB,CAR,CAR / 5,25,25,26,26,26,228.37,228.37,228.37,26
,WR13,WR19,WR21,Jameson Williams,WR,DET,DET / 6,24,25,22,25,26,144.38,175.86,207.34,26
,RB27,RB26,RB26,TreVeyon Henderson,RB,NE,NE / 11,29,25,19,23,21,150.78,167.47,184.16,26
,TE20,TE20,TE20,Chig Okonkwo,TE,WAS,WAS / 7,25,25,23,22,21,78.01,104.77,131.53,18
,WR29,WR29,WR30,Rome Odunze,WR,CHI,CHI / 10,20,26,31,28,28,124.01,155.59,187.16,25
,RB23,RB23,RB22,Rhamondre Stevenson,RB,NE,NE / 11,25,26,27,27,29,162.47,181.38,200.3,25
,QB26,QB26,QB26,Cam Ward,QB,TEN,TEN / 9,26,26,24,25,25,226.05,226.05,226.05,25
,TE21,TE22,TE22,AJ Barner,TE,SEA,SEA / 11,26,26,21,21,20,77.79,100.26,122.72,22
,RB29,RB29,RB29,Tony Pollard,RB,TEN,TEN / 9,30,27,29,29,30,143.63,159.9,176.16,30
,QB27,QB27,QB27,Jacoby Brissett,QB,ARI,ARI / 14,27,27,27,27,27,224.15,224.15,224.15,27
,WR26,WR24,WR24,Luther Burden,WR,CHI,CHI / 10,27,27,17,26,23,133.24,168.43,203.62,22
,WR35,WR33,WR33,Carnell Tate,WR,TEN,TEN / 9,29,28,28,29,29,113.79,147.73,181.67,33
,RB26,RB24,RB24,Jaylen Warren,RB,PIT,PIT / 9,27,28,25,26,26,153.83,175.09,196.35,27
,RB33,RB31,RB30,Kenny Gainwell,RB,TB,TB / 10,35,29,37,38,36,126.05,149.99,173.93,40
,WR28,WR28,WR31,Mike Evans,WR,SF,SF / 8,35,29,27,27,27,126.54,156.75,186.96,30
,WR41,WR42,WR43,Marvin Harrison,WR,ARI,ARI / 14,31,30,38,33,33,105.32,135.25,165.19,31
,WR39,WR35,WR32,Michael Pittman,WR,PIT,PIT / 9,36,31,43,43,41,109.04,147.5,185.95,47
,RB28,RB28,RB28,Rico Dowdle,RB,PIT,PIT / 9,26,31,30,31,31,144,160.52,177.04,29
,WR30,WR30,WR29,DK Metcalf,WR,PIT,PIT / 9,30,32,33,34,32,122.81,155.28,187.74,34
,RB30,RB30,RB31,Jonathon Brooks,RB,CAR,CAR / 5,28,32,54,33,35,135.63,151.38,167.13,28
,WR34,WR36,WR36,Courtland Sutton,WR,DEN,DEN / 10,28,33,32,35,35,114.91,145.72,176.52,45
,RB32,RB32,RB33,Chuba Hubbard,RB,CAR,CAR / 5,36,33,31,28,27,127.44,142.06,156.68,33
,RB37,RB34,RB34,Aaron Jones,RB,MIN,MIN / 6,40,34,36,39,39,117.33,136.93,156.54,42
,WR22,WR27,WR27,Christian Watson,WR,GB,GB / 11,32,34,30,30,30,136.87,166.42,195.96,27
,RB41,RB39,RB38,Rachaad White,RB,WAS,WAS / 7,39,35,48,40,40,105.5,121.93,138.36,41
,WR32,WR31,WR28,Parker Washington,WR,JAX,JAX / 7,34,35,34,31,34,119.9,154.91,189.92,28
,WR49,WR44,WR40,Wan'Dale Robinson,WR,TEN,TEN / 9,46,36,42,48,48,96.54,132.27,168,49
,RB36,RB38,RB39,J.K. Dobbins,RB,DEN,DEN / 10,31,36,33,32,32,122.59,129.39,136.19,32
,WR42,WR43,WR41,Michael Wilson,WR,ARI,ARI / 14,41,37,35,37,36,104.21,135.18,166.16,36
,RB39,RB40,RB41,Kyle Monangai,RB,CHI,CHI / 10,33,37,28,34,33,110.67,121.09,131.51,37
,WR44,WR39,WR39,Stefon Diggs,WR,WAS,WAS / 7,50,38,46,47,45,103.64,137.1,170.56,39
,RB38,RB35,RB32,RJ Harvey,RB,DEN,DEN / 10,43,38,26,30,28,114.96,136.54,158.11,38
,WR76,WR76,WR76,Travis Hunter,WR,JAX,JAX / 7,44,39,56,61,60,44.01,56.03,68.05,68
,RB31,RB33,RB35,Blake Corum,RB,LAR,LAR / 11,38,39,32,35,34,131.79,138.68,145.57,35
,WR37,WR40,WR45,Alec Pierce,WR,IND,IND / 13,33,40,40,40,40,113.23,136.88,160.52,43
,RB34,RB36,RB36,Jacory Croskey-Merritt,RB,WAS,WAS / 7,34,40,39,36,37,125.02,133.22,141.43,34
,RB42,RB41,RB40,Tyjae Spears,RB,TEN,TEN / 9,45,41,47,51,48,98.32,115.28,132.24,48
,WR47,WR47,WR47,Jakobi Meyers,WR,JAX,JAX / 7,42,41,36,49,44,99.52,129.94,160.36,52
,RB35,RB37,RB37,Jordan Mason,RB,MIN,MIN / 6,37,42,40,37,38,123.91,131.23,138.54,36
,WR31,WR32,WR34,Brian Thomas,WR,JAX,JAX / 7,37,42,37,32,31,120.95,151.23,181.5,32
,WR43,WR45,WR46,Matthew Golden,WR,GB,GB / 11,38,43,57,50,50,103.94,132.22,160.5,46
,RB46,RB46,RB48,Zach Charbonnet,RB,SEA,SEA / 11,42,43,41,43,43,84.26,91.79,99.31,50
,RB45,RB44,RB43,Woody Marks,RB,HOU,HOU / 8,41,44,42,45,45,84.82,97.64,110.46,45
,WR38,WR37,WR35,Chris Godwin,WR,TB,TB / 10,53,44,39,39,39,109.5,144.15,178.8,35
,RB53,RB52,RB51,Jonah Coleman,RB,DEN,DEN / 10,50,45,45,46,49,67.26,77.94,88.62,49
,WR40,WR41,WR44,Jordan Addison,WR,MIN,MIN / 6,39,45,41,41,42,106.92,135.63,164.35,41
,WR48,WR46,WR42,Josh Downs,WR,IND,IND / 13,51,46,45,45,43,98.5,131.87,165.24,37
