,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Isiah Pacheco,DET,6,RB,153,155,155,0,5.4,,155
,Jonah Coleman,DEN,10,RB,127,143,156,0.09,3.9,,156
,Mike Washington,LV,13,RB,137,142,157,0.11,4.2,14,157
,Braelon Allen,NYJ,13,RB,164,159,158,-0.01,5.8,,158
,T.J. Hockenson,MIN,6,TE,166,193,159,-0.18,7,,159
,Brenton Strange,JAC,7,TE,146,151,160,0.06,4.6,,160
,Keenan Allen,IND,13,WR,187,182,161,-0.12,7.3,,161
,Rashod Bateman,BAL,13,WR,186,194,162,-0.16,7.6,,162
,Dontayvion Wicks,PHI,10,WR,180,175,163,-0.07,6.2,,163
,Jaylin Noel,HOU,8,WR,179,191,165,-0.14,7,,164
,Tank Bigsby,PHI,10,RB,151,140,166,0.19,4,,165
,Ray Davis,BUF,7,RB,169,170,167,-0.02,5.7,,166
,Dylan Sampson,CLE,11,RB,158,152,168,0.11,4.5,,167
,Najee Harris,NYG,8,RB,234,192,169,-0.12,8.8,,168
,Juwan Johnson,NO,8,TE,154,131,170,0.3,3.4,15,169
,Alvin Kamara,NO,8,RB,144,161,171,0.06,4.1,,170
,Justice Hill,BAL,13,RB,229,210,172,-0.18,9.1,,171
,Ja'Kobi Lane,BAL,13,WR,175,188,173,-0.08,5.9,,172
,Jordan Love,GB,11,QB,157,118,174,0.47,2.8,,173
,C.J. Stroud,HOU,8,QB,176,141,175,0.24,4.9,,174
,Sam Darnold,SEA,11,QB,177,138,176,0.28,4.3,,175
,Jauan Jennings,MIN,6,WR,173,165,177,0.07,4.9,,176
,Tank Dell,HOU,8,WR,168,200,178,-0.11,5.8,,177
,Malachi Fields,NYG,8,WR,205,204,179,-0.12,7.4,,178
,Germie Bernard,PIT,9,WR,195,218,180,-0.17,7.5,,179
,Tre' Harris,LAC,7,WR,197,176,181,0.03,5.9,,180
,Pat Freiermuth,PIT,9,TE,232,201,182,-0.09,8.1,16,181
,Dalton Schultz,HOU,8,TE,174,166,183,0.1,4.5,,182
,Ryan Flournoy,DAL,14,WR,203,174,184,0.06,5.8,,183
,Zachariah Branch,ATL,11,WR,188,214,185,-0.14,6.7,,184
,Omar Cooper,NYJ,13,WR,156,164,186,0.13,3.6,,185
,Kayshon Boutte,HOU,8,WR,192,158,187,0.18,4.6,,186
,Kaelon Black,SF,8,RB,193,190,188,-0.01,5.8,,187
,Kimani Vidal,LAC,7,RB,191,171,189,0.11,5.1,,188
,Jaylen Wright,MIA,6,RB,215,196,190,-0.03,6.7,,189
