player_id,games,team,name,pos,last_week,ep_std,pts_std,ewma_ep_std,last_ep_std,last_pts_std,ep_half,pts_half,ewma_ep_half,last_ep_half,last_pts_half,ep_ppr,pts_ppr,ewma_ep_ppr,last_ep_ppr,last_pts_ppr,ep_std6,pts_std6,ewma_ep_std6,last_ep_std6,last_pts_std6,ep_half6,pts_half6,ewma_ep_half6,last_ep_half6,last_pts_half6,ep_ppr6,pts_ppr6,ewma_ep_ppr6,last_ep_ppr6,last_pts_ppr6,rush_att_pg,tgt_pg,rush_rz_pg,tgt_rz_pg,tgt_ez_pg,air_yds_pg,pass_att_pg,gap_std,gap_half,gap_ppr,gap_std6,gap_half6,gap_ppr6
00-0040666,1,LAC,Omarion Hampton,RB,1,7.22697399,8.30000000,10.01618834,7.22697399,8.30000000,7.22947484,8.30000000,11.04564820,7.22947484,8.30000000,7.23197569,8.30000000,12.07510807,7.23197569,8.30000000,7.23321593,8.30000000,10.02180137,7.23321593,8.30000000,7.23571679,8.30000000,11.05126124,7.23571679,8.30000000,7.23821764,8.30000000,12.08072110,7.23821764,8.30000000,12.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.07302601,1.07052516,1.06802431,1.06678407,1.06428321,1.06178236
00-0035993,0,BAL,Tyler Huntley,QB,,,,10.99917846,,,,,11.00132814,,,,,11.00347781,,,,,12.64044955,,,,,12.64259923,,,,,12.64474890,,,,,,,,,,,,,,,
00-0040668,0,CLE,Shedeur Sanders,QB,,,,10.97548401,,,,,10.98023272,,,,,10.98498142,,,,,12.73180184,,,,,12.73655055,,,,,12.74129926,,,,,,,,,,,,,,,
00-0037247,1,DAL,George Pickens,WR,1,6.92433906,2.80000000,8.57114326,6.92433906,2.80000000,8.56258609,4.30000000,10.76700747,8.56258609,4.30000000,10.20083312,5.80000000,12.96287168,10.20083312,5.80000000,6.92665812,2.80000000,8.57295326,6.92665812,2.80000000,8.56490515,4.30000000,10.76881747,8.56490515,4.30000000,10.20315218,5.80000000,12.96468168,10.20315218,5.80000000,0.00000000,6.00000000,0.00000000,0.00000000,0.00000000,104.00000000,0.00000000,-4.12433906,-4.26258609,-4.40083312,-4.12665812,-4.26490515,-4.40315218
00-0033906,0,NO,Alvin Kamara,RB,,,,9.34626440,,,,,10.70663679,,,,,12.06700919,,,,,9.34890874,,,,,10.70928114,,,,,12.06965354,,,,,,,,,,,,,,,
00-0035100,0,CIN,Jake Browning,QB,,,,10.68587675,,,,,10.68939099,,,,,10.69290524,,,,,12.57008228,,,,,12.57359653,,,,,12.57711077,,,,,,,,,,,,,,,
00-0031503,0,NYG,Jameis Winston,QB,,,,10.38489488,,,,,10.68712445,,,,,10.98935403,,,,,11.99019626,,,,,12.29242583,,,,,12.59465541,,,,,,,,,,,,,,,
00-0036139,1,PIT,Rico Dowdle,RB,1,7.02490791,2.10000000,9.21975347,7.02490791,2.10000000,8.95572993,3.10000000,10.65549276,8.95572993,3.10000000,10.88655195,4.10000000,12.09123205,10.88655195,4.10000000,7.02393415,2.10000000,9.22311979,7.02393415,2.10000000,8.95475617,3.10000000,10.65885908,8.95475617,3.10000000,10.88557820,4.10000000,12.09459837,10.88557820,4.10000000,8.00000000,5.00000000,1.00000000,0.00000000,0.00000000,4.00000000,0.00000000,-4.92490791,-5.85572993,-6.78655195,-4.92393415,-5.85475617,-6.78557820
00-0037238,1,ATL,Drake London,WR,1,3.81773963,3.50000000,8.08439554,3.81773963,3.50000000,5.26251592,4.50000000,10.51530151,5.26251592,4.50000000,6.70729222,5.50000000,12.94620749,6.70729222,5.50000000,3.82136994,3.50000000,8.08667463,3.82136994,3.50000000,5.26614624,4.50000000,10.51758061,5.26614624,4.50000000,6.71092254,5.50000000,12.94848658,6.71092254,5.50000000,1.00000000,4.00000000,0.00000000,0.00000000,0.00000000,22.00000000,0.00000000,-0.31773963,-0.76251592,-1.20729222,-0.32136994,-0.76614624,-1.21092254
00-0040124,1,CAR,Tetairoa McMillan,WR,1,8.76802300,5.50000000,8.20747840,8.76802300,5.50000000,11.12502832,8.00000000,10.47331715,11.12502832,8.00000000,13.48203364,10.50000000,12.73915590,13.48203364,10.50000000,8.76941666,5.50000000,8.20897071,8.76941666,5.50000000,11.12642198,8.00000000,10.47480946,11.12642198,8.00000000,13.48342730,10.50000000,12.74064822,13.48342730,10.50000000,0.00000000,8.00000000,0.00000000,1.00000000,0.00000000,119.00000000,0.00000000,-3.26802300,-3.12502832,-2.98203364,-3.26941666,-3.12642198,-2.98342730
00-0039391,0,LAC,Kimani Vidal,RB,,,,9.72940606,,,,,10.45111022,,,,,11.17281439,,,,,9.73463367,,,,,10.45633784,,,,,11.17804201,,,,,,,,,,,,,,,
00-0033040,0,MIA,Tyreek Hill,WR,,,,8.24279440,,,,,10.38775979,,,,,12.53272518,,,,,8.24399999,,,,,10.38896539,,,,,12.53393078,,,,,,,,,,,,,,,
00-0038124,1,GB,Christian Watson,WR,1,10.76471595,26.70000000,8.60341473,10.76471595,26.70000000,12.95731535,29.70000000,10.31177269,12.95731535,29.70000000,15.14991475,32.70000000,12.02013064,15.14991475,32.70000000,10.76391835,26.70000000,8.60384637,10.76391835,26.70000000,12.95651775,29.70000000,10.31220433,12.95651775,29.70000000,15.14911715,32.70000000,12.02056228,15.14911715,32.70000000,0.00000000,8.00000000,0.00000000,1.00000000,1.00000000,127.00000000,0.00000000,15.93528405,16.74268465,17.55008525,15.93608165,16.74348225,17.55088285
00-0039915,1,LAC,Ladd McConkey,WR,1,10.32115483,14.20000000,8.23786123,10.32115483,14.20000000,12.27723363,16.70000000,10.29293748,12.27723363,16.70000000,14.23331243,19.20000000,12.34801374,14.23331243,19.20000000,10.31933380,14.20000000,8.23843909,10.31933380,14.20000000,12.27541260,16.70000000,10.29351534,12.27541260,16.70000000,14.23149140,19.20000000,12.34859160,14.23149140,19.20000000,0.00000000,7.00000000,0.00000000,2.00000000,1.00000000,97.00000000,0.00000000,3.87884517,4.42276637,4.96668757,3.88066620,4.42458740,4.96850860
00-0022942,0,IND,Philip Rivers,QB,,,,9.98340386,,,,,10.28626838,,,,,10.58913290,,,,,11.64161996,,,,,11.94448448,,,,,12.24734900,,,,,,,,,,,,,,,
00-0039165,0,SEA,Zach Charbonnet,RB,,,,9.68915527,,,,,10.26817520,,,,,10.84719514,,,,,9.69444088,,,,,10.27346081,,,,,10.85248075,,,,,,,,,,,,,,,
00-0039067,1,KC,Rashee Rice,WR,1,1.52124776,7.90000000,7.73541346,1.52124776,7.90000000,2.24548767,8.90000000,10.26609816,2.24548767,8.90000000,2.96972757,9.90000000,12.79678286,2.96972757,9.90000000,1.52376310,7.90000000,7.74169856,1.52376310,7.90000000,2.24800300,8.90000000,10.27238326,2.24800300,8.90000000,2.97224290,9.90000000,12.80306796,2.97224290,9.90000000,0.00000000,2.00000000,0.00000000,1.00000000,0.00000000,6.00000000,0.00000000,6.37875224,6.65451233,6.93027243,6.37623690,6.65199700,6.92775710
00-0037740,1,NYJ,Garrett Wilson,WR,1,6.51587161,7.90000000,7.54000302,6.51587161,7.90000000,8.77064465,10.90000000,10.18087996,8.77064465,10.90000000,11.02541768,13.90000000,12.82175689,11.02541768,13.90000000,6.51728067,7.90000000,7.54226563,6.51728067,7.90000000,8.77205370,10.90000000,10.18314257,8.77205370,10.90000000,11.02682674,13.90000000,12.82401950,11.02682674,13.90000000,0.00000000,7.00000000,0.00000000,0.00000000,0.00000000,77.00000000,0.00000000,1.38412839,2.12935535,2.87458232,1.38271933,2.12794630,2.87317326
00-0036040,1,NO,Juwan Johnson,TE,1,12.33733537,11.40000000,7.87146476,12.33733537,11.40000000,14.41856201,12.90000000,9.96861826,14.41856201,12.90000000,16.49978866,14.40000000,12.06577176,16.49978866,14.40000000,12.33709679,11.40000000,7.86927332,12.33709679,11.40000000,14.41832344,12.90000000,9.96642682,14.41832344,12.90000000,16.49955008,14.40000000,12.06358032,16.49955008,14.40000000,0.00000000,7.00000000,0.00000000,3.00000000,2.00000000,77.00000000,0.00000000,-0.93733537,-1.51856201,-2.09978866,-0.93709679,-1.51832344,-2.09955008
