season,week,player_id,name,position,team,air_yds,pass_air_yds,pass_att,pass_i10,pass_rz,rush_att,rush_i10,rush_i5,rush_rz,tgt,tgt_deep,tgt_ez,tgt_i10,tgt_rz,ep_std,pts_std,ewma_ep_pre_std,ewma_ep_std,ep_half,pts_half,ewma_ep_pre_half,ewma_ep_half,ep_ppr,pts_ppr,ewma_ep_pre_ppr,ewma_ep_ppr,ep_std6,pts_std6,ewma_ep_pre_std6,ewma_ep_std6,ep_half6,pts_half6,ewma_ep_pre_half6,ewma_ep_half6,ep_ppr6,pts_ppr6,ewma_ep_pre_ppr6,ewma_ep_ppr6,seeded_from_prior,passing_tds
2026,2,00-0040583,Woody Marks,RB,HOU,11.00000000,0.00000000,0.00000000,0.00000000,0.00000000,8.00000000,0.00000000,0.00000000,1.00000000,6.00000000,0.00000000,0.00000000,0.00000000,2.00000000,8.22332657,3.50000000,8.07353533,8.12596226,10.47323454,6.00000000,8.74861621,9.35223263,12.72314252,8.50000000,9.42369709,10.57850299,8.21978541,3.50000000,8.07871866,8.12809202,10.46969339,6.00000000,8.75379954,9.35436239,12.71960136,8.50000000,9.42888042,10.58063275,true,0
2026,1,00-0040584,Gunnar Helm,TE,TEN,17.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000,1.00000000,0.00000000,1.00000000,5.01621808,2.80000000,3.32568271,3.91737009,6.86120059,4.80000000,4.56434032,5.36824142,8.70618310,6.80000000,5.80299794,6.81911275,5.01225610,2.80000000,3.32317286,3.91435200,6.85723861,4.80000000,4.56183048,5.36522332,8.70222112,6.80000000,5.80048809,6.81609465,true,0
2026,2,00-0040584,Gunnar Helm,TE,TEN,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.74533470,1.30000000,3.91737009,3.15715770,2.55778865,2.30000000,5.36824142,4.38458295,3.37024259,3.30000000,6.81911275,5.61200819,1.74276551,1.30000000,3.91435200,3.15429672,2.55521945,2.30000000,5.36522332,4.38172197,3.36767340,3.30000000,6.81609465,5.60914721,true,0
2026,1,00-0040590,Konata Mumpfield,WR,LA,13.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91570029,0.00000000,2.78517819,2.13086093,1.20008223,0.00000000,3.54223511,2.72248160,1.48446418,0.00000000,4.29929203,3.31410228,0.91637212,0.00000000,2.78606539,2.13167275,1.20075407,0.00000000,3.54312231,2.72329342,1.48513602,0.00000000,4.30017923,3.31491410,true,0
2026,2,00-0040590,Konata Mumpfield,WR,LA,23.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81833028,1.20000000,2.13086093,2.02147520,2.43883482,1.70000000,2.72248160,2.62320523,3.05933935,2.20000000,3.31410228,3.22493525,1.81888074,1.20000000,2.13167275,2.02219554,2.43938527,1.70000000,2.72329342,2.62392557,3.05988980,2.20000000,3.31491410,3.22565560,true,0
2026,2,00-0040646,Jalen Royals,WR,KC,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.00000000,0.00000000,1.00000000,1.00000000,1.00000000,3.09552374,6.60000000,3.36166059,3.26851269,3.73950565,7.60000000,4.04635028,3.93895465,4.38348755,8.60000000,4.73103996,4.60939662,3.09680820,6.60000000,3.36240378,3.26944533,3.74079010,7.60000000,4.04709347,3.93988729,4.38477201,8.60000000,4.73178316,4.61032925,true,0
2026,1,00-0040663,Harold Fannin Jr.,TE,CLE,10.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.02534287,2.10000000,6.44168676,4.89596640,3.17323121,3.10000000,8.87900421,6.88198366,4.32111956,4.10000000,11.31632166,8.86800092,2.02256772,2.10000000,6.46268035,4.90864093,3.17045607,3.10000000,8.89999780,6.89465819,4.31834441,4.10000000,11.33731525,8.88067545,true,0
2026,2,00-0040663,Harold Fannin Jr.,TE,CLE,24.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.11041712,5.40000000,4.89596640,4.62102415,6.39010223,7.90000000,6.88198366,6.70982516,8.66978733,10.40000000,8.86800092,8.79862617,4.10654305,5.40000000,4.90864093,4.62790667,6.38622816,7.90000000,6.89465819,6.71670768,8.66591327,10.40000000,8.88067545,8.80550869,true,0
2026,1,00-0040666,Omarion Hampton,RB,LAC,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.00000000,1.00000000,0.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,7.22697399,8.30000000,11.51807299,10.01618834,7.22947484,8.30000000,13.10051078,11.04564820,7.23197569,8.30000000,14.68294858,12.07510807,7.23321593,8.30000000,11.52334738,10.02180137,7.23571679,8.30000000,13.10578517,11.05126124,7.23821764,8.30000000,14.68822296,12.08072110,true,0
2026,2,00-0040666,Omarion Hampton,RB,LAC,-8.00000000,0.00000000,0.00000000,0.00000000,0.00000000,23.00000000,1.00000000,1.00000000,2.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14.97005541,15.50000000,10.01618834,11.75004181,15.80526280,16.50000000,11.04564820,12.71151331,16.64047019,17.50000000,12.07510807,13.67298481,14.98083215,15.50000000,10.02180137,11.75746215,15.81603954,16.50000000,11.05126124,12.71893364,16.65124693,17.50000000,12.08072110,13.68040514,true,0
2026,1,00-0040667,Matthew Golden,WR,GB,137.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.00000000,2.00000000,2.00000000,1.00000000,3.00000000,14.73974026,9.50000000,3.91960292,7.70665099,18.38979138,12.50000000,4.87307777,9.60392753,22.03984250,15.50000000,5.82655262,11.50120408,14.74206145,9.50000000,3.92361909,7.71007391,18.39211257,12.50000000,4.87709393,9.60735046,22.04216369,15.50000000,5.83056878,11.50462700,true,0
2026,2,00-0040667,Matthew Golden,WR,GB,80.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,6.00000000,1.00000000,0.00000000,0.00000000,0.00000000,6.03565858,5.80000000,7.70665099,7.12180365,7.87016111,7.80000000,9.60392753,8.99710929,9.70466365,9.80000000,11.50120408,10.87241493,6.03622863,5.80000000,7.71007391,7.12422806,7.87073117,7.80000000,9.60735046,8.99953370,9.70523370,9.80000000,11.50462700,10.87483934,true,0
2026,3,00-0040667,Matthew Golden,WR,GB,199.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.00000000,5.00000000,1.00000000,0.00000000,1.00000000,14.67023309,16.00000000,7.12180365,9.76375395,17.98283612,18.50000000,8.99710929,12.14211368,21.29543916,21.00000000,10.87241493,14.52047341,14.67343928,16.00000000,7.12422806,9.76645199,17.98604231,18.50000000,8.99953370,12.14481172,21.29864535,21.00000000,10.87483934,14.52317145,true,0
2026,1,00-0040669,Isaac TeSlaa,WR,DET,3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.59076416,0.00000000,2.90854253,2.09732010,0.93987527,0.00000000,3.41240378,2.54701880,1.28898639,0.00000000,3.91626503,2.99671750,0.59217475,0.00000000,2.90959077,2.09849516,0.94128587,0.00000000,3.41345202,2.54819386,1.29039698,0.00000000,3.91731327,2.99789257,true,0
2026,2,00-0040669,Isaac TeSlaa,WR,DET,81.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,2.00000000,1.00000000,0.00000000,1.00000000,6.62887903,2.60000000,2.09732010,3.68336572,7.96068223,3.60000000,2.54701880,4.44180100,9.29248543,4.60000000,2.99671750,5.20023628,6.63119788,2.60000000,2.09849516,3.68494111,7.96300109,3.60000000,2.54819386,4.44337639,9.29480429,4.60000000,2.99789257,5.20181167,true,0
2026,1,00-0040676,Cam Ward,QB,TEN,0.00000000,190.00000000,32.00000000,0.00000000,3.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,12.11601476,11.70000000,13.06852744,12.73514801,12.12161994,11.70000000,13.07345788,12.74031460,12.12722511,11.70000000,13.07838831,12.74548119,13.84223142,13.70000000,15.40297520,14.85671488,13.84783660,13.70000000,15.40790564,14.86188147,13.85344177,13.70000000,15.41283607,14.86704807,true,1
2026,2,00-0040676,Cam Ward,QB,TEN,0.00000000,140.00000000,20.00000000,1.00000000,2.00000000,4.00000000,4.00000000,3.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,18.79960723,20.02000000,12.73514801,14.85770873,18.80051626,20.02000000,12.74031460,14.86138518,18.80142530,20.02000000,12.74548119,14.86506163,19.91267191,20.02000000,14.85671488,16.62629984,19.91358094,20.02000000,14.86188147,16.62997629,19.91448998,20.02000000,14.86704807,16.63365274,true,0
