Player,Team,POS,Average_ADP,Depth,Depth_Rank
Los Angeles Rams,DST,DST13,243.5,DST14,14
Joe Flacco,CLE,QB35,244.0,QB2,2
Raheem Mostert,LV,RB72,244.5,RB2,2
Cole Kmet,CHI,TE32,245.5,TE2,2
New York Giants,DST,DST14,245.5,DST15,15
Ja'Tavion Sanders,CAR,TE33,247.0,TE1,1
Zack Moss,,RB73,247.5,NO TEAM,0
Ray-Ray McCloud,ATL,WR93,248.0,WR3,3
Darius Slayton,NYG,WR79,249.0,WR3,3
Elijah Mitchell,KC,RB74,249.5,RB4,4
Michael Wilson,ARI,WR80,250.0,WR2,2
Tyler Lockett,TEN,WR81,250.5,WR2,2
Miami Dolphins,DST,DST22,251.0,DST16,16
Seattle Seahawks,DST,DST15,252.0,DST17,17
Jalen Nailor,MIN,WR94,252.0,WR3,3
Green Bay Packers,DST,DST16,252.0,DST18,18
Dyami Brown,JAC,WR82,252.0,WR3,3
Trevor Etienne,CAR,RB75,252.5,RB3,3
Theo Johnson,NYG,TE34,253.5,TE1,1
Tyler Conklin,LAC,TE35,253.5,TE1,1
Chris Boswell,PIT,K8,253.5,K1,1
Jake Elliott,PHI,K9,254.0,K1,1
Evan McPherson,CIN,K10,254.0,K1,1
Jacory Croskey-Merritt,WAS,RB76,255.5,RB3,3
Jalen Milroe,SEA,QB36,255.5,QB2,2
Dallas Cowboys,DST,DST17,256.5,DST19,19
Jason Sanders,MIA,K11,256.5,K1,1
Tre Tucker,LV,WR95,259.0,WR3,3
Calvin Austin,PIT,WR83,259.5,WR2,2
Jordan James,SF,RB77,259.5,RB3,3
Los Angeles Chargers,DST,DST18,259.5,DST20,20
Wil Lutz,DEN,K12,260.0,K1,1
Kirk Cousins,ATL,QB37,260.0,QB2,2
Noah Gray,KC,TE36,260.5,TE2,2
Xavier Restrepo,TEN,WR98,261.0,WR3,3
New England Patriots,DST,DST19,262.5,DST21,21
Diontae Johnson,CLE,WR84,262.5,WR3,3
Ollie Gordon,MIA,RB78,263.0,RB4,4
Matt Gay,WAS,K16,263.0,K1,1
Elic Ayomanor,TEN,WR85,263.5,WR4,4
Dontayvion Wicks,GB,WR86,264.5,WR4,4
Cincinnati Bengals,DST,DST23,265.0,DST22,22
Antonio Gibson,NE,RB79,265.5,RB3,3
Adonai Mitchell,IND,WR87,266.5,WR4,4
Dont'e Thornton,LV,WR88,268.0,WR4,4
Tory Horton,SEA,WR99,268.0,WR3,3
New York Jets,DST,DST20,268.5,DST23,23
Isaac TeSlaa,DET,WR89,270.5,WR3,3
Will Reichard,MIN,K17,273.0,K1,1
Tyler Loop,BAL,K13,273.0,K1,1
Kendre Miller,NO,RB80,273.5,RB3,3
Noah Fant,CIN,TE41,274.0,TE2,2
Arizona Cardinals,DST,DST24,274.0,DST24,24
Andrei Iosivas,CIN,WR90,274.0,WR3,3
Harold Fannin,CLE,TE37,274.5,TE2,2
Devaughn Vele,DEN,WR100,276.0,WR4,4
Younghoe Koo,ATL,K15,277.5,K1,1
Keaton Mitchell,BAL,RB83,278.5,RB3,3
Devin Singletary,NYG,RB84,279.0,RB3,3
Tyler Higbee,LAR,TE38,280.0,TE2,2
Sean Tucker,TB,RB86,280.0,RB3,3
Jordan Whittington,LAR,WR101,282.0,WR3,3
Brandin Cooks,NO,WR97,284.5,WR3,3
Roman Wilson,PIT,WR96,284.5,WR3,3
Jermaine Burton,CIN,WR102,285.0,WR4,4
Ben Sinnott,WAS,TE42,285.0,TE2,2
Taysom Hill,NO,TE39,285.5,TE2,2
Audric Estime,DEN,RB85,286.0,RB4,4
Oronde Gadsden,LAC,TE40,286.0,TE2,2
Chicago Bears,DST,DST25,288.0,DST25,25
Christian Watson,GB,WR103,289.0,WR5,5
Tutu Atwell,LAR,WR105,290.0,WR4,4
Kenneth Gainwell,PIT,RB87,290.0,RB3,3
Indianapolis Colts,DST,DST26,292.0,DST26,26
Joshua Karty,LAR,K19,293.0,K1,1
Las Vegas Raiders,DST,DST27,293.0,DST27,27
Daniel Carlson,LV,K18,295.0,K1,1
Jake Moody,SF,K20,295.0,K1,1
Emanuel Wilson,GB,RB88,296.0,RB3,3
Jacksonville Jaguars,DST,DST28,296.0,DST28,28
Cleveland Browns,DST,DST29,297.0,DST29,29
New Orleans Saints,DST,DST30,298.0,DST30,30
Samaje Perine,CIN,RB90,299.0,RB3,3
Marquez Valdes-Scantling,SEA,WR106,299.0,WR4,4
Kayshon Boutte,NE,WR104,299.5,WR4,4
Damien Martinez,SEA,RB91,301.0,RB3,3
Ty Johnson,BUF,RB92,304.0,RB3,3
Troy Franklin,DEN,WR107,304.0,WR5,5
Jalen Tolbert,DAL,WR108,305.0,WR3,3
Curtis Samuel,BUF,WR109,306.0,WR4,4
KeAndre Lambert-Smith,LAC,WR110,306.0,WR4,4
Khalil Herbert,IND,RB89,306.0,RB3,3
Elijah Moore,BUF,WR111,311.0,WR5,5
Isaiah Davis,NYJ,RB93,313.0,RB3,3
Dameon Pierce,HOU,RB94,314.0,RB4,4
Phil Mafah,DAL,RB95,316.0,RB4,4
,,UNK,,NO TEAM,0
,,UNK,,NO TEAM,0
