Player,Team,POS,Average_ADP,Depth,ESPN_ADP
Green Bay Packers,DST,DST16,253,DST17,
Terrance Ferguson,LAR,TE33,253.5,TE1,
Matt Gay,WAS,K17,254,K1,
Isaac TeSlaa,DET,WR83,254,WR3,
Seattle Seahawks,DST,DST15,255,DST18,
Jason Sanders,MIA,K12,255,K1,
Wil Lutz,DEN,K11,255,K1,
Raheem Mostert,LV,RB74,255.5,RB2,215
New York Jets,DST,DST17,256.5,DST19,
Roman Wilson,PIT,WR84,257,WR2,310
Dyami Brown,JAC,WR85,258,WR3,206
Elijah Mitchell,KC,RB75,259,RB4,214
Theo Johnson,NYG,TE34,259.5,TE1,
Tyler Loop,BAL,K13,259.5,K1,
Xavier Restrepo,TEN,WR96,261,WR2,
Kendre Miller,NO,RB76,261,RB3,198
Dallas Cowboys,DST,DST18,261.5,DST20,
Jimmy Garoppolo,LAR,QB39,262,QB2,
Zack Moss,,RB79,262.5,NO TEAM,
Olamide Zaccheaus,CHI,WR97,263,WR4,
Trevor Etienne,CAR,RB80,263.5,RB3,
Tory Horton,SEA,WR86,263.5,WR3,
Chicago Bears,DST,DST24,264,DST21,
Dontayvion Wicks,GB,WR88,264.5,WR4,338
Amari Cooper,,WR80,264.5,NO TEAM,
Los Angeles Chargers,DST,DST19,265,DST22,
Dameon Pierce,HOU,RB86,265,RB4,
Tyler Conklin,LAC,TE35,268,TE1,
Elic Ayomanor,TEN,WR89,269,WR3,309
Jordan James,SF,RB77,270.5,RB4,
Tyler Lockett,TEN,WR87,271,WR4,170
Jaleel McLaughlin,DEN,RB81,271,RB3,
Jalen Milroe,SEA,QB36,271,QB2,
Noah Gray,KC,TE36,272,TE2,
Kirk Cousins,ATL,QB37,273,QB2,
New England Patriots,DST,DST21,276,DST23,
Younghoe Koo,ATL,K16,276.5,K1,
Antonio Gibson,NE,RB83,276.5,RB3,
Andrei Iosivas,CIN,WR92,278,WR3,231
Harold Fannin,CLE,TE37,278.5,TE2,
Miami Dolphins,DST,DST23,279,DST24,
Troy Franklin,DEN,WR94,280.5,WR4,
Cincinnati Bengals,DST,DST25,282,DST25,
