Player,Team,POS,Average_ADP,Depth,Depth_Rank
Jalen McMillan,TB,WR65,172.0,WR4,4
Pittsburgh Steelers,DST,DST3,172.0,DST3,3
Kyle Williams,NE,WR66,173.5,WR2,2
Geno Smith,LV,QB26,175.5,QB1,1
Cade Otton,TB,TE21,176.0,TE1,1
Isaiah Likely,BAL,TE22,176.5,TE2,2
Adam Thielen,CAR,WR67,176.5,WR2,2
Wan'Dale Robinson,NYG,WR68,177.5,WR2,2
Minnesota Vikings,DST,DST4,178.5,DST4,4
Sam Darnold,SEA,QB27,180.5,QB1,1
Kyle Monangai,CHI,RB57,181.0,RB2,2
Mason Taylor,NYJ,TE23,182.5,TE1,1
Xavier Legette,CAR,WR69,182.5,WR3,3
DeMario Douglas,NE,WR70,184.0,WR3,3
Justice Hill,BAL,RB58,184.5,RB2,2
Joshua Palmer,BUF,WR71,186.5,WR3,3
Aaron Rodgers,PIT,QB28,187.5,QB1,1
Anthony Richardson,IND,QB29,188.5,QB1,1
Romeo Doubs,GB,WR72,188.5,WR3,3
Baltimore Ravens,DST,DST5,189.0,DST5,5
Chig Okonkwo,TEN,TE24,191.5,TE1,1
Houston Texans,DST,DST6,192.0,DST6,6
Roschon Johnson,CHI,RB59,193.0,RB3,3
Brandon Aubrey,DAL,K1,193.5,K1,1
Kareem Hunt,KC,RB60,197.5,RB2,2
Mike Gesicki,CIN,TE25,198.0,TE1,1
Blake Corum,LAR,RB61,198.0,RB2,2
San Francisco 49ers,DST,DST7,198.0,DST7,7
Pat Freiermuth,PIT,TE26,198.5,TE2,2
Cameron Dicker,LAC,K2,202.5,K1,1
Alec Pierce,IND,WR73,207.0,WR3,3
Jarquez Hunter,LAR,RB62,207.5,RB3,3
Buffalo Bills,DST,DST8,208.0,DST8,8
Kansas City Chiefs,DST,DST9,208.0,DST9,9
Russell Wilson,NYG,QB30,208.5,QB1,1
Dalton Schultz,HOU,TE27,208.5,TE1,1
Jake Bates,DET,K3,209.0,K1,1
Will Shipley,PHI,RB63,209.5,RB2,2
Detroit Lions,DST,DST10,209.5,DST10,10
Quentin Johnston,LAC,WR74,212.5,WR4,4
